[2026-01-14 09:18:02] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-13
正在获取论文...
[arXiv] 2026-01-13 | Gyral-Sulcal-Net: An Integrated Network Representation of Brain Folding Patterns
[NO] 1102/1742 | Decision letter for "FAPMNet: Flow-Aligned Prototype Memory Network for Semantic Change Detection in Remote Sensing Images"
[NO] 1103/1742 | DC Off-board Vehicle to Grid/Building/Home: A Survey and Gap Analysis_supp1-3652429.pdf
[NO] 1104/1742 | Fault-Tolerant Multiport Single Diode Bridge for Distributed PV Power Collection and Voltage Step-up
[NO] 1105/1742 | FedAuth: A Lightweight and Privacy-Enhanced Authentication Scheme for Federated Learning in IoVs
[NO] 1106/1742 | The Impact of Big Data Analytics in Evaluating Green Bond Performance and Assessing Environmental Impact
[NO] 1107/1742 | Broadening Participation in CS Research with Scalable Undergraduate Research Mini-Projects
[NO] 1108/1742 | Identifying Key Psychological, Biological, Lifestyle, and Social Risk Factors for Mental Health using Random Forest and Gradient Boosting Models
[NO] 1109/1742 | ICOECAI 2025 Cover Page
[NO] 1110/1742 | 2025 Antennas Design and Measurement International Conference (ADMInC)
[NO] 1111/1742 | WIP: A Canvas Public Course for Electrical Engineering
[NO] 1112/1742 | Reinforcement Learning Meets the Cloud: A Q Learning Framework for Efficient Task Scheduling
[NO] 1113/1742 | An Intelligent Search Engine Integrating Neural Networks and ElasticSearch for Semantic and Personalized Retrieval
[NO] 1114/1742 | An Improved Robustness of Microphone Array Speech Enhancement in Complex Environment
[NO] 1115/1742 | Chameleon Swarm Algorithm Optimized Deep Learning Framework for Robust Android Malware Detection
[NO] 1116/1742 | Satellite-Based Analysis of Forest Damage in Ukraine’s Protected Areas
[NO] 1117/1742 | Digital Monitoring of Microalgae Cultivation and Harvesting
[NO] 1118/1742 | Analysis of Tourist Perceptions of Islamic Religious Tourism in Java Island Based on TOURQUAL Dimensions Using IndoBERT and ABSA Model
[NO] 1119/1742 | Surrogate-Assisted Multi-Objective Optimization of Axial Flux Permanent Magnet Machines Using Machine Learning and Genetic Algorithm
[NO] 1120/1742 | Advancing Cyclist Safety: A Robust Collision Avoidance System with DBSCAN-Enhanced Clustering and Bayesian-Optimized Adaptive Extended Kalman Filter
[NO] 1121/1742 | explainy: A Toolkit for Legal-XAI
[NO] 1122/1742 | You Take the High Road, and I’ll Take the Low Road
[NO] 1123/1742 | Reporting Requests Modelling in European Legislation with a Hybrid AI Approach
[NO] 1124/1742 | A Randomized Data Structure for Efficient Quantum Encoding
[NO] 1125/1742 | Multiobjective Optimization With Minimum Output Error and Maximum Efficiency for WPT Systems Based on Discrete Neighborhood Search–Model Predictive Control Scheme
[NO] 1126/1742 | FRDP: A Micro Free-Flying Robot With Dual-Vector Propulsion in Space Station
[NO] 1127/1742 | Relationship Between Wave-Related Reynolds Number and Doppler Velocity at Grazing Incidence_supp1-3653263.pdf
[NO] 1128/1742 | Designing Laboratory Courses for Undergraduate Students in Materials Science and Engineering - a Systematic Review
[NO] 1129/1742 | WIP: Skill Extraction and Matching in Workforce Development: A Comparative Analyses of BERT and Generative Language Models to Inform the Design of an Interactive Digital Skills Platform
[NO] 1130/1742 | EDEN: Efficient Dual-Layer Exploration Planning for Fast UAV Autonomous Exploration in Large 3-D Environments_supp1-3639779.mp4
[NO] 1131/1742 | Topology-Aware Transformer-Based Federated Learning for Spatially Decentralized IIoT Infrastructure
[NO] 1132/1742 | An Intelligent System for Detecting Malicious Messages in IP Telephony within a Corporate Network
[NO] 1133/1742 | Table of Contents
[NO] 1134/1742 | Casper: A Causality-inspired Defense with Confounder against Label Inference Attacks in Vertical Split Federated Learning_supp1-3652013.pdf
[NO] 1135/1742 | Deep Learning for Smart Surveillance: Multi-Class Detection of People, Weapons, and Masks using YOLOv11
[NO] 1136/1742 | Explainable Artificial Intelligence for Crime Prediction in Montgomery County
[NO] 1137/1742 | The AI Policy Module: Developing Computer Science Student Competency in AI Ethics and Policy
[YES] 1138/1742 | Decoding AI Impact: Longitudinal Analysis of Code Submissions in Programming MOOCs
[NO] 1139/1742 | IEEE Transactions on Plasma Science Special Issue on Discharges and Electrical Insulation in Vacuum
[NO] 1140/1742 | Blockchain and NLP Integration for Transparent AI-Enabled e-Governance
[NO] 1141/1742 | WIP: Supporting Engaging K12 Outreach Through Engineer-Educator Collaborations
[NO] 1142/1742 | Full-Arm Wearable Haptic Interface Incorporating Force Feedback and Joint Constraint Mechanisms
[NO] 1143/1742 | Deep Learning Approaches for Predicting Employee Attrition in the Healthcare Sector
[NO] 1144/1742 | Improved Acceleration-Level Motion Planning Method for Robot Manipulators Corrupted by Noise
[NO] 1145/1742 | Research on the Applicability of the Objective Function for Parameter Identification of Load Model Based on Sensitivity Analysis
[NO] 1146/1742 | Energy Demand Assessment to Initiate CO₂ Emissions Reduction in Niger Transport Sector by 2050
[NO] 1147/1742 | Gamification in Photovoltaic Panel Learning: Boosting Engagement and Knowledge Retention
[NO] 1148/1742 | Towards an Early-Warning System for Respiratory Health: Predicting NO
                    <sub>2</sub>
                    Exposure with LSTM–GRU–CNN–Hybrid Model
[NO] 1149/1742 | Towards a Safe and Trustworthy LLM-RAG Chatbot for Hemodialysis Patient Education: Design, Implementation, and Preliminary Evaluation
[NO] 1150/1742 | Advanced Security Framework for Threat Mitigation in Cloud Computing Environments
[NO] 1151/1742 | Pattern-Based Runtime Protocol Verification for Industrial Automation
[NO] 1152/1742 | Bayesian Joint Spatio-Temporal Analysis of HIV/AIDS, Hepatitis B &amp; C, and Tuberculosis in Central Java
[NO] 1153/1742 | Mobile-Friendly Dog Breed Recognition Using ResNet-18 with Structured Pruning
[NO] 1154/1742 | From Benchmarking to Prediction: Energy Profiling of Industrial Systems Using Machine Learning
[NO] 1155/1742 | Measuring Physiological Response and Mental Workload of AR Users in Assembly Learning: Implications for Educational Multimedia Applications
[NO] 1156/1742 | Machine Learning Approaches for Threat Detection in Cloud Computing
[NO] 1157/1742 | Routing in Memoryless Quantum Networks: A Lexicographic Approach with Fidelity Guarantee
[NO] 1158/1742 | Is Ransomware an Economically Distinct Attack Type? An Event Study of Market Reactions
[NO] 1159/1742 | Energy-Efficient and Balanced Cloud Task Scheduling Using Lion Optimization Algorithm with Elite Opposition-Based Learning
[NO] 1160/1742 | ISCC 2025 Cover Page
[NO] 1161/1742 | Recognizing Emotion on Faceless Images Using Deep Learning Approach
[NO] 1162/1742 | Automated Mitosis Detection in Breast Cancer Histopathology Images Using Deep Learning
[NO] 1163/1742 | Wind speed missing value imputation model for high-altitude regions based on wind vertical distribution characteristics
[NO] 1164/1742 | Short term Forecast of transformer error based on variational modal decomposition and gated cyclic element encoder decoder model
[NO] 1165/1742 | Biophysically Informed Diffusion Transformers for Predicting Personalized Drug Efficacy in Heterogeneous Tumor Environments
[NO] 1166/1742 | Design and Develop MITRE ATT&amp;CK Based Cybersecurity Threat Detection Model
[NO] 1167/1742 | CFSM: A Novel Causal Feature Selection Module for Two-Dimensional Out-of-Distribution Generalization_supp1-3616163.pdf
[NO] 1168/1742 | Exploring Educational Video Games for Learning Scrum: A Systematic Literature Review
[NO] 1169/1742 | Pathway to Computing: An Innovative Approach to Inviting Non-Computing Students into Graduate Computer Science Programs
[NO] 1170/1742 | WIP: Assessing 21st Century Skills of High School Students in a Machine Learning Workshop with TinyML
[NO] 1171/1742 | EchoVision: Intelligent Ultrasonic Glasses for Enhanced Blind Navigation
[NO] 1172/1742 | AI-Powered Customer Segmentation: Enhancing Targeted Marketing Strategies Through Machine Learning
[NO] 1173/1742 | Enhancing Student Success in CS1: A Self-Selected Experience-Based Grouping Approach
[NO] 1174/1742 | Bias-Mitigation and Multi-Task Deep Learning for Facial Attribute Prediction Across Demographics
[NO] 1175/1742 | Ransomware Detection using Machine Learning Approaches
[NO] 1176/1742 | Exploring Graduate Student Views on Robotics Policy Relevant Information
[NO] 1177/1742 | Cross-View and Cross-Modal Contrastive Learning for Radar Object Detection
[NO] 1178/1742 | Integrating Random Forest, CNN, and ANN for EMG-Based Upper Limb Movement Recognition
[NO] 1179/1742 | EPINET-Lite: Rethinking Mixed Convolutions for Efficient Light Field Disparity Estimation Network
[NO] 1180/1742 | Hybrid Framework for Liver Image Enhancement and Detection Using Double-Stage Gaussian Filter and CNN
[NO] 1181/1742 | Impact of Traditional, Blended, and Online Learning on Students Performance in Higher Education Using Data Mining Approach
[NO] 1182/1742 | Stakeholder Hierarchy and Conway's Law: Impact on Backlog Management Strategies in Agile Teams Post-COVID
[NO] 1183/1742 | How Experiential Learning (Internships, Live Projects) Enhances Sustainability Competencies in Management Education
[NO] 1184/1742 | IDAACS 2025 Committees
[NO] 1185/1742 | SlideCraft: Context-aware Slides Generation Agent
[NO] 1186/1742 | Cumulative Correlation Violation (CCV): A Quantitative Metric for Residual Randomness in System Identification
[NO] 1187/1742 | Blending Technology and Tradition: Perception on AI, Local and Native Teachers in English Learning
[NO] 1188/1742 | Artificial Intelligence Enabled Decision Support System for Hospitality Operations
[NO] 1189/1742 | A Review of Research Progress on ResNet and Its Fusion Applications
[NO] 1190/1742 | Unsupervised Recognition of Prehabilitation Movements: The Role of Personalised Data and Remote Monitoring
[NO] 1191/1742 | Threat Model for the Modern LMS Platforms Based on 5G/6G Technologies
[NO] 1192/1742 | Optimization of Error Control Coding in High-Speed Optical Broadband Networks Using Machine Learning
[NO] 1193/1742 | Performance and Efficiency of EfficientNet Models in MRI-Based Brain Tumor Detection
[NO] 1194/1742 | Long-Term Feature Point Tracking for Camera Pose Estimation in Forest Fire Scenes
[NO] 1195/1742 | Table of Contents
[NO] 1196/1742 | Predicting Civil Case Processing Times Using Machine Learning: A Case Study from the Italian Judicial System
[NO] 1197/1742 | An Innovative Secure Multimodal Biometric Verification and Encryption Scheme Using Integrity Key Cryptography and Feature Level Fusion in Cloud Computing
[NO] 1198/1742 | WIP: Mapping Misconceptions Across Key Electric Circuit Concepts
[NO] 1199/1742 | SnO
                    <sub>2</sub>
                    -CNT Resistive Sensor for Low-Temperature Detection of Electrolyte Solvent used in Lithium-Ion Batteries
[NO] 1200/1742 | Coconut Milk Freshness Classification using Mamdani-Type Fuzzy Logic and VOC Sensor Data
[NO] 1201/1742 | ATSG: Adaptive Token Linking With Segment Anything Model Guidance For Weakly Supervised Remote Sensing Image Semantic Segmentation
[NO] 1202/1742 | Exploring the Impact of Classroom Composition on Women's Experiential Identity, Interest, and Self-Efficacy in Microelectronics
[NO] 1203/1742 | ICOCO 2025 TOC
[YES] 1204/1742 | WIP: Structured AI Tutoring in Engineering Education
[NO] 1205/1742 | A Novel Hybrid Wireless Power Transfer Coupler for Unmanned Aerial Vehicle Application
[NO] 1206/1742 | Subjective-objective Emotion Correlated Generation Network for Subjective Video Captioning_supp2-3649363.png
[NO] 1207/1742 | Accessibility and Accommodations for Students with Disabilities in STEM Higher Education: Synthesis of Research on Computing, Physics, and Engineering
[NO] 1208/1742 | Antecedents and Outcomes of Learning Management System Usage: Evidence from Developing Country Educational Institutions
[NO] 1209/1742 | Efficient Continuous Object Tracking with Fog-Assisted Boundary Detection in IoT-Enabled WSN
[NO] 1210/1742 | Transferring Policy of Offline Reinforcement Learning from Hybrid Dataset to Real World via Progressive Neural Network_supp1-3653285.mp4
[NO] 1211/1742 | Low-Light Welding Defect Detection Using Retinex-Enhanced YOLOv11 for Steel Welding Inspection
[NO] 1212/1742 | Integration of Big Data, Dynamic Systems, and Artificial Intelligence in Local Government Decision Making: A Systematic Literature Review
[NO] 1213/1742 | BERT-Based Multi-Task Classification Model for Free Health Check-Up Program Analysis
[NO] 1214/1742 | Expanding Life Expectancy Prediction With Digital Health and Personal Data Integration
[NO] 1215/1742 | Design of an AI-Assisted Support System for Manual Procedure Education Using LLMs and RAG
[NO] 1216/1742 | Using NLP Tools for Processing Unstructured Information for Financial Reports
[NO] 1217/1742 | Real-Time Defect Detection and Intervention System for FDM Printers Using Accelerometer Data
[NO] 1218/1742 | Evaluating Scalability and Success Rates of Exact and Approximate N-Queens Solvers
[NO] 1219/1742 | Designing a Theoretical AI-Based Fault Detection System for Rocket Engines
[NO] 1220/1742 | Periodic Event-Triggered Quantized Control for Nonlinear Systems With Packet Losses and Large Transmission Delays
[NO] 1221/1742 | MMSP 2025 Cover Page
[NO] 1222/1742 | Exploration-Enhanced Proximal Policy Optimization
[NO] 1223/1742 | Demonstration of a Subwavelength Radiofrequency Resonator for Infant Brain Imaging at 1.5 T
[NO] 1224/1742 | A Fog-based approach to Forest Fire detection
[NO] 1225/1742 | Ransome Watch: A Web-Based Malware Detection and Analysis System
[NO] 1226/1742 | Secure and Trustworthy Multisource Data Sharing Using Blockchain for Agricultural Risk Mitigation
[NO] 1227/1742 | AI-Driven Natural Language Processing to SQL Query Generation for Enhanced Human-Machine Interaction in the Digital Era
[NO] 1228/1742 | When Project-Based Learning Meets Edge Computing: An Experience Report
[NO] 1229/1742 | The Energy Literacy Spectrum: Understanding Students' Thoughts, Feelings, and Behaviors
[NO] 1230/1742 | Legal-Ethical Learning for Sustainable Transformation of 6G Software Technology
[NO] 1231/1742 | Rule-based Classifier Models
[NO] 1232/1742 | AF-XRAY: Visual Explanation and Resolution of Ambiguity in Legal Argumentation Frameworks
[NO] 1233/1742 | CPU-Limits kill Performance: Time to rethink Resource Control
[NO] 1234/1742 | A Fast, Efficient, and Strongly-Consistent Object Store
[NO] 1235/1742 | Parameter estimation of a linear ARX model with skewed heavy-tailed noise
[NO] 1236/1742 | Improved Dynamic Window Approach Using Sugeno Fuzzy Logic for Mobile Robot Collision Avoidance
[NO] 1237/1742 | ConvSE for Multiple Sclerosis Lesion Segmentation
[NO] 1238/1742 | Handover Optimization in LTE Networks Using Contextual Bandit Reinforcement Learning and Real-World Data
[NO] 1239/1742 | A Comparative Analysis on Discernment of Human Versus AI-Generated Art
[NO] 1240/1742 | Explainable AI For Phishing Detection: Techniques, Challenges, and Experimental Validation
[NO] 1241/1742 | Identifying Key Molecular Features for Cancer-Related hCA Inhibitor Compounds Using Machine Learning Models
[NO] 1242/1742 | WIP: Designing Faculty Mentorship at Scale: Lessons from the Mentorship 360 Faculty Mentoring Program at Arizona State University
[NO] 1243/1742 | WIP: Motivating Calculus for Computer Science Majors
[NO] 1244/1742 | WIP: Students in Dysfunctional Team: First Year Engineering Design Course Perspective
[NO] 1245/1742 | Effective SegFormer Ensemble for Diabetic Foot Ulcer Segmentation
[NO] 1246/1742 | WIP Bridging the Gap: Faculty Perspectives on Microlearning Implementation in Engineering and Computing Education
[NO] 1247/1742 | WIP: Leveraging Collaborative Online International Learning (COIL) Projects for Industry-Driven Software Development in Undergraduate Education
[NO] 1248/1742 | A Secure and Privacy-Preserving Blockchain-Based Framework for Fraud-Resilient E-Health Systems
[NO] 1249/1742 | A Study and Implementation of Customizable Optical Mark Recognition Sheets for Assessments
[NO] 1250/1742 | Robust Parkinson’s Disease Screening from Speech via Self-Supervised Learning Models and Task-Wise Analysis
[NO] 1251/1742 | WIP: Multi-Agent Artificial Intelligence Model to Enhance Self-Regulated Learning and Conceptual Understanding in Computer Science Education
[NO] 1252/1742 | A Comprehensive Fraud Detection System Based on Client Transaction History and Behavioral Data Analysis
[NO] 1253/1742 | Integrating Post Quantum Cryptography (PQC) for End-to-End Security in Edge and IoT Environments
[NO] 1254/1742 | A Survey of AI in System of Systems With a Focus on Power Electronic Systems—Part I: Design and Control
[NO] 1255/1742 | Neuroplasticity-Inspired Adaptive Intrusion Detection System for Real-Time Threat Recognition and Self-Correction
[NO] 1256/1742 | Ageism in the Computer Science University Classroom: A Service Learning Case Study
[NO] 1257/1742 | Vision-Based Granular Detection of Aquaculture Feed Pellets: A Systematic Review
[NO] 1258/1742 | The Personality Legal Protection Methodology in the Digital Environment
[NO] 1259/1742 | EEG-Based Classification of MDD Using Different Feature Sets
[NO] 1260/1742 | Forecasting Meningococcal Infection Dynamics in Ukraine Using Exponential Smoothing During Wartime Disruptions
[NO] 1261/1742 | 2025 IEEE International Workshop on Multimedia Signal Processing (MMSP)
[NO] 1262/1742 | Facial Micro-Expression-Based Deepfake Detection Using Temporal Convolutional Networks
[NO] 1263/1742 | Deep learning-based Classification for Circulating Tumor Cells
[NO] 1264/1742 | TC-NetTrack: An Approach for Creating Digital Evidences for Flows in IP Networks
[NO] 1265/1742 | Immersive Education with Mixed Reality: A Case Study at a Zoological Museum
[NO] 1266/1742 | MTGRec: A Novel Sequential Recommendation based on Multi-modal Temporal Graph
[NO] 1267/1742 | Preliminary Development of a Closed-Loop FES System Application with a Co-activation Map for Restoring Knee Joint Movements
[NO] 1268/1742 | Objective Evaluation of Upper Limb Function after Stroke using Artificial Intelligence in Post-Acute Care
[NO] 1269/1742 | Exploring the Role of Graduate Student Mentors in Apprenticeship-Style Undergraduate Student Research Experiences in Engineering
[NO] 1270/1742 | WIP: QUINTET: A Platform for Quantum Internet Education and Training
[NO] 1271/1742 | Bayesian Optimisation for Sensor Scheduling and Tracking with Different Acquisition Functions
[NO] 1272/1742 | CENIM 2025 Cover Page
[NO] 1273/1742 | Smart Risk Prediction for Medical IoT A Dynamic and Privacy-Preserving Cybersecurity Model
[NO] 1274/1742 | Interactive Visual Programming on CaSMM: The Benefits and Challenges of Children's Computational Thinking Development in STEM Learning
[NO] 1275/1742 | Forecasting Stock Market Fluctuations in Pakistan Using PyTorch TabNet
[NO] 1276/1742 | Predictive Analysis of Student Dropout in the Computer Science Program at the University of Brasilia
[NO] 1277/1742 | Multi-Scale Robustness Evaluation of Deepfake Detectors
[NO] 1278/1742 | Building Interaction Virtual Reality From the 3D Orthomosaic Model
[YES] 1279/1742 | Improving User Privacy Through Deep Learning: JavaScript Tracking Detection
[NO] 1280/1742 | Research on the Legal Effect and Judicial Challenges of Smart Contracts in Logistics Electronic Bills of Lading
[NO] 1281/1742 | Design and Analysis of a Miniaturized Nested Multi-Ring CSRR for Aircraft Navigation and Radar Systems
[NO] 1282/1742 | A Framework for Autonomous and Sustainable Crop Protection: An Intelligent Multi-Objective Pesticide Application System
[NO] 1283/1742 | Machine Learning Driven Predictive Model for Smart Tourism Development
[NO] 1284/1742 | On the Digital Law Development Issue in the Strengthening Ukrainian Civil Society Context: Moral and Ethical Aspects
[NO] 1285/1742 | Zero Trust Meets AI: A Survey Across Multi-Cloud and Hybrid Environments
[NO] 1286/1742 | A Trust-Enabled Edge-Assisted Depth-Based Protocol for Reliable and Secure Data Transmission in Underwater IoT
[NO] 1287/1742 | A Unified View of Multimodal Emotion Recognition Systems
[NO] 1288/1742 | Automated Quantification of Hydrocephalus-Related Imaging Indices Using a Segmentation Model
[NO] 1289/1742 | Apply Convolutional Neural Networks (CNNs) in Virtual Reality (VR) Systems: Integrating Multisensory Feedback Technologies with Real-Time Facial Recognition of Emotions
[NO] 1290/1742 | LC-BERT: Dimensionality Reduction on BERT’s Vector Embeddings
[NO] 1291/1742 | Joint Punctuation Restoration and Text Capitalisation with a Hybrid XLM-RoBERTa—LSTM Model
[NO] 1292/1742 | Edge-Enhanced Encoder-Decoder Framework for ALS Detection in Abdominal LCTIs with Deep Liver Localization
[NO] 1293/1742 | Particle Swarm-Optimized ANFIS for Medical Decision Support: A Case Study in Type 2 Diabetes
[NO] 1294/1742 | Privacy-Preserving Student Success Prediction Using a Federated Weighted Ensemble Under Non-IID Data
[NO] 1295/1742 | TRUST-X: Real-Time Explainable Decision-Making Framework for Reinforcement Learning-Based UAV Control
[NO] 1296/1742 | Digital Twin-Based Smart Metering Framework with Real-Time Monitoring via Microsoft Azure IoT
[NO] 1297/1742 | Enhancing LoRaWAN Simulator for Real-World Integration and Research Experimentation
[NO] 1298/1742 | ADMInC 2025 Cover Page
[NO] 1299/1742 | Optimized Blockchain Protocols for Double-Spending Mitigation Using Lightweight Cryptography
[NO] 1300/1742 | WIP: Faculty Mentoring Experiences in an Evolving NSF S-Stem Project
[NO] 1301/1742 | An Efficient FPGA System for Hypersparse Feed Forward Networks for Chip Memory Mapping
[NO] 1302/1742 | Cost Prediction Model of Power Transmission and Transformation Project Based on Improved PSO and LSSVM
[NO] 1303/1742 | Ethical Considerations in Artificial Intelligence: A Curricular Approach for STEM Disciplines
[NO] 1304/1742 | UAV-Assisted Real-Time Disaster Detection Using Optimized Transformer Model
[NO] 1305/1742 | Handwriting Biometrics for Parkinson’s Disease Detection Using Deep Learning
[YES] 1306/1742 | AI-assisted Intent-Mapping and translation for Digital Twins Network applications
[NO] 1307/1742 | Challenges and Opportunities in Quantum-Enhanced XAI for Medical and Healthcare Systems
[NO] 1308/1742 | Lightweight Monocular Depth Estimation and D3QN-based Obstacle Avoidance for UAV
[YES] 1309/1742 | An Agentic Reasoning-Based Feedback System for Programming Assignments
[NO] 1310/1742 | A Complex-Valued Rotational Chaotic Map with Zynq-Based Hardware Implementation
[NO] 1311/1742 | MTxLSTM: Multi-Task Learning for Gesture Recognition and Person Identification using a Miniature Radar Sensor
[NO] 1312/1742 | Fostering Practical Skills in Computer Networks with IoT-Centric Project-Based Learning
[NO] 1313/1742 | Robust Adaptive PID Control Based on a Modified Nussbaum Function for Robots Exposed to Significant Changes in Dynamics
[NO] 1314/1742 | YOLOv11 based algorithm for abandoned luggage detection with dynamic radius estimation
[NO] 1315/1742 | Mobile UI/UX Energy Efficiency Profiling: A Comparative Analysis of Dark and Light Modes
[NO] 1316/1742 | Analysis of Students' Patterns and Prediction Using edX Data and Learning Analytics
[NO] 1317/1742 | Development of a LiDAR-based 3D Scanner Using a Plane Mirror Base for Improved Scanning Coverage and ICP-based Pose graph SLAM Optimization
[NO] 1318/1742 | Unsupervised Sensitivity Prior Generation With Diffusion Model for EIT Image Reconstruction_supp1-3642293.pdf
[NO] 1319/1742 | Applying Improved Symbiotic Organisms Search Algorithm to solve Non-Convex Economic Environment Dispatch Problems
[NO] 1320/1742 | Décor-AR: AR Shopping Application for Interior Design Using Immersive Intelligence
[NO] 1321/1742 | Fuzzing OPC UA with AFLNet, ChatAFL and LibAFLstar: A Research Experience Paper
[NO] 1322/1742 | A Semi-Supervised Meta-Negative-Learning Approach to Few-Shot Network Intrusion Detection in Internet of Things
[NO] 1323/1742 | Centrality-Guided GCNs for Detecting Communities in Time-Varying Heterogeneous Graphs
[NO] 1324/1742 | Thermal Management of Lithium-ion Battery Module with Forced Air and Conditioned Air Convection and its Impact on Cell Aging
[NO] 1325/1742 | Special Session: Space Teams Academy Transforming STEM Education Through Virtual Space Exploration
[NO] 1326/1742 | WIP: Do Metadiscursive Riffs Harmonize Lecture Delivery?
[NO] 1327/1742 | WIP: Feeling Behind in an Introductory Programming Course
[NO] 1328/1742 | “ChatGPT Should be Used as a Tool, But Not Mistaken for a Crutch”: Engineering Students' Ethical Perspectives After Using GenAI in an Introductory Course
[NO] 1329/1742 | Real-Time Generation of Near Minimum-Energy Trajectories via Constraint-Informed Residual Learning: A Paradigm for Learning From Optimal Solutions_supp1-3642672.mp4
[NO] 1330/1742 | osmAG-LLM: Zero-Shot Open-Vocabulary Object Navigation via Semantic Maps and Large Language Models Reasoning_supp1-3653280.mp4
[NO] 1331/1742 | Self-Supervised Unfolding Network with Shared Reflectance Learning for Low-Light Image Enhancement
[NO] 1332/1742 | A Composite Remote Sensing based Agricultural Drought Monitoring Index Using Stacked Machine Learning
[NO] 1333/1742 | Comparative Evaluation of Conventional and Temperature-Corrected Performance Ratios for a 100 MW Utility-Scale PV System – A Case Study of Pakistan
[NO] 1334/1742 | A LightGBM-Transformer Hybrid Model for Traffic Flow Prediction Using Temporal Features
[NO] 1335/1742 | Comparative Lexicon-Based Sentiment Analysis Towards Indonesian ’Cek Kesehatan Gratis’ Program in X
[NO] 1336/1742 | A Machine Learning Framework for Predicting Solutions to Nonlinear Differential Equations
[NO] 1337/1742 | A Serverless Quantization-as-a-Service Model to Run Compression Jobs for Edge Intelligence
[NO] 1338/1742 | AI-Powered Fraud Detection in UPI and Digital Wallet Transactions Using Deep Learning Models
[NO] 1339/1742 | Bridging Theory and Practice: Insights from the Live-in-Labs
                    <sup>®</sup>
                    on Participatory Rural Appraisal and Human Centered Design
[NO] 1340/1742 | Resilience Measurement of Green Agricultural Supply Chain under the Background of Rural Revitalization
[NO] 1341/1742 | Construction of a Customer - Oriented Evaluation System Index Library for Logistics Service Quality Based on AHP
[NO] 1342/1742 | Multiplexed Heterogeneous LLM Serving via Stage-Aligned Parallelism
[NO] 1343/1742 | Hybrid Learning and Optimization-Based Dynamic Scheduling for DL Workloads on Heterogeneous GPU Clusters
[NO] 1344/1742 | AdaSpec: Adaptive Speculative Decoding for Fast, SLO-Aware Large Language Model Serving
[NO] 1345/1742 | A Demonstration of a Semi-Structured Legal Reasoning Framework
[NO] 1346/1742 | DeCoRA: Definition and Context Reasoning in Argumentation
[NO] 1347/1742 | Legal Explanation in Defeasible Deontic Logic via LegalRuleML
[NO] 1348/1742 | Quantum Computing: A Brief Introduction and Its Applications in Spatial Computing
[NO] 1349/1742 | AI-Based Book Classification Using Book Titles: Investigating Two-Stage NLP Approach
[NO] 1350/1742 | Motion Magnification Analysis for rPPG
[NO] 1351/1742 | Sky Classification Using CNNs for Meteorological Condition Detection
[NO] 1352/1742 | BASMEDSecure: A Logistic Regression-Based Data Hiding Framework for Securing Patient Records
[NO] 1353/1742 | Enhancing Engagement and Learning in IT Courses: A Pedagogical Approach to Gamification
[NO] 1354/1742 | Next-Generation Healthcare: a Secure and Voice-Driven App for Seamless Patient Engagement
[NO] 1355/1742 | Structure Design and Development of an Active Upper Limb Exoskeleton Robot for Homecare Rehabilitation
[NO] 1356/1742 | Enhancing Maritime Situational Awareness through Multimodal Fusion: Insights from a Real-World Experiment
[NO] 1357/1742 | Artificial Intelligence Personalization: Opportunities, Risks, and the Need for Ethical Data Practices
[NO] 1358/1742 | ICSPC 2025 Cover Page
[NO] 1359/1742 | Sybil Attack Detection and Prevention Using Dynamic Trust Mechanism in VANETs
[NO] 1360/1742 | WIP: Bias Beneath the Surface: AI-Driven Gender Representation Analysis in Academic Communications
[NO] 1361/1742 | Exploring Need for Acheivement: A Machine Learning Approach for Enhancing Entrepreneurial Persistence
[NO] 1362/1742 | A Technological Leap in Malay Language Acquisition: Evaluating EasyMalay Application For Chinese Learners
[NO] 1363/1742 | Locally Adapted Reference Frame Fields using Moving Least Squares_supp2-3634845.mp4
[NO] 1364/1742 | Optimizing Marketing Strategies Through Cloud Computing and Intelligent Analytics
[NO] 1365/1742 | A Comparative Performance Analysis of Fuzzy Logic and Artificial Neural Network-Based MPPT Algorithms for Solar Photovoltaic Systems Under Rapidly Varying Weather Conditions
[NO] 1366/1742 | Optimizing Machine Learning Algorithms for Intrusion Detection: Towards Next-Generation Cyber-Security Solutions
[NO] 1367/1742 | Semantics-Preserving Dynamic Pruning for Split Inference in Log Anomaly Detection
[NO] 1368/1742 | Internal Audit of the Sales System: A Fuzzy-Multiple Approach
[NO] 1369/1742 | FPG-NAS: FLOPs-Aware Gated Differentiable Neural Architecture Search for Efficient 6DoF Pose Estimation
[NO] 1370/1742 | CompBench: Benchmarking and Comparing Image Generation with Large Multimodal Models
[YES] 1371/1742 | Meet Your Mock Interviewer - MYMI: An AI Powered Mock Interview Simulation App
[NO] 1372/1742 | Improving Intrusion Detection by using Multiclass Cyberattack Classification LightGBM, XGBoost, and Random Forest
[NO] 1373/1742 | Spatio-Temporal Analysis of Environmental Influence Toward ARI Cases Spread in West Java Using INLA
[NO] 1374/1742 | Semantic guided DSM super-resolution with single-view high resolution image
[NO] 1375/1742 | AI-Driven Tutoring in English Literature: Fostering Deeper Interpretation and Student Engagement
[NO] 1376/1742 | Advancing Education, Research, and Innovation: Empowering Women in Computing for a Sustainable Digital Future
[NO] 1377/1742 | Gone But Not Forgotten: Forensic Recovery of Disconnected USB-Sourced Images from Volatile Memory
