[2025-12-31 09:14:28] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-30
正在获取论文...
[IEEE] 2025-12-30 | Table of Contents
[NO] 505/1000 | UAV Image Classification: A Comparative Evaluation of CNN Models
[NO] 506/1000 | Understanding Why ChatGPT Outperforms Humans in Visualization Design Advice
[NO] 507/1000 | A Variable-Scale Diagnosis Method for Gearbox Faults in Wind Turbines
[NO] 508/1000 | Measurement of Electromagnetic Interference Current in Cables Based on BPM Method
[NO] 509/1000 | Managing Differentiated Secure Connectivity using Intents
[NO] 510/1000 | AI Integration for Sustainable DevOps &amp; Cloud Interdisciplinary: Framework Optimized Resource Management and Carbon Efficiency
[NO] 511/1000 | AI Agent-Driven Framework for Data Governance and Privacy in Oracle-based Insurance Systems
[NO] 512/1000 | Implicit Solutions for Line Partitions in Electrical Distribution System Restoration MDP
[NO] 513/1000 | Preliminary Investigation on Inverse Scattering-Based Design of Dielectric Superstrates for Beam Shaping
[NO] 514/1000 | Time-Domain Dual Surface Electric Field Integral Equation
[NO] 515/1000 | A Pragmatic Approach to Distribution System State Estimation at Low-Voltage Level
[NO] 516/1000 | Sound Localization for Gun-Shot Detection Using Fourier Transform
[NO] 517/1000 | Temperature Control of Thermostatic Water Bath Based on Gray Prediction and Fuzzy PID Control
[NO] 518/1000 | Design and Implementation of a Miniaturized Ground System for MWD
[NO] 519/1000 | Embedding Atlas: Low-Friction, Interactive Embedding Visualization
[NO] 520/1000 | Intelligent Traffic Flow Prediction Using Hybrid Deep Learning Models
[NO] 521/1000 | Towards Real-ESRGAN Refinement for Realistic Image Restoration via Advanced Degradation and Knowledge Distillation
[NO] 522/1000 | Multi-Objective Congestion Management in Low-Voltage Grids: Coordinating End-Users and System Operators for Real-World Implementation
[NO] 523/1000 | Measurements of Slot-Fed Circularly Polarized Layered Cylindrical Dra for X-Band Applications
[NO] 524/1000 | Federated Learning for Privacy-Preserving Seizure Detection in IoT-Cloud Networks
[NO] 525/1000 | Fault Localization in Power Systems Using Artificial Neural Networks
[NO] 526/1000 | A Novel Synthetic Battery for Realistic IoT Device Lifetime Prediction
[NO] 527/1000 | UTEHY-NLU@ALQAC 2025: Dynamic Weighted Ensemble and Adaptive Reasoning for Vietnamese Legal Text Processing
[NO] 528/1000 | Multi-Objective Optimization Algorithms for Energy Management Systems in Microgrids: A Control Strategy Based on a PHIL System
[NO] 529/1000 | Expensa: Offline Mobile App for Personal Expense Tracking
[NO] 530/1000 | NN-based NMPC Control law approximation for Maximal Wind Energy Extraction in wind turbines
[NO] 531/1000 | Feature Selection via Synergistic Integration of Feature Correlation and Neighborhood Decision Mutual Information
[NO] 532/1000 | IoT-based Wildlife Intrusion Detection and Alert System using Sensor Fusion and AI for Agricultural Protection
[NO] 533/1000 | ISAR Algorithm for Detecting Target Scatters: An Enhanced Range-Doppler Approach with Interference Suppression
[NO] 534/1000 | Thick Data Analytics in Healthcare: Integrating Qualitative Insights with Machine Learning
[NO] 535/1000 | The Regularized Wiener-Hopf Method Applied to EM Scattering Problems Involving Entire Unknowns
[NO] 536/1000 | Investigation of Network Code Compliance for Electric Vehicle Onboard Chargers in Denmark
[NO] 537/1000 | Early Determination of Autism Spectrum Disorder by an Improved Multi-Layer Perceptron with Adam Optimization Process
[NO] 538/1000 | Improving Power System Frequency Response with Converter-Based Resources: A Measurement-Based Analysis
[NO] 539/1000 | Robust Predictive Control for Dual Three-Phase PMSMs via Cost Function Optimization
[NO] 540/1000 | Internet of Things-Enabled Cyber Threat Detection in Self-Driving Vehicle Networks Using a Hybrid Deep Learning-Based Security Model
[NO] 541/1000 | Smart Assessment and Enhancement of Indoor Environmental Quality in Cultural Heritage Buildings
[NO] 542/1000 | Metasurface-Based Circular Polarization Conversion for a Patch Antenna at 5.8 GHz
[NO] 543/1000 | Performance Testing of the Hybrid Inverter Drive in a Practical Application
[NO] 544/1000 | Fast and Faithful Edge Bundling for Large and Complex Networks
[NO] 545/1000 | Investigating Active Impedance in Arrays with Varying Size using Accelerated MoM
[NO] 546/1000 | Efficient Dispersion of Mobile robots in Torus Networks
[NO] 547/1000 | BDIMed 2025 Author Index
[NO] 548/1000 | Front Cover
[NO] 549/1000 | A Dynamic Priority-Aware Task Offloading and Resource Allocation Strategy Assisted by RSU-Relay in Vehicular Edge Computing
[NO] 550/1000 | Ultra-High-Speed Motor With Enhanced Cooling for Cordless Vacuum Cleaners
[NO] 551/1000 | 2025 IEEE International Symposium on Product Compliance Engineering - Asia (ISPCE-ASIA)
[NO] 552/1000 | Effect of Environmental Temperature and Humidity on the Detection of Alcohol Denaturants using Metal-Phenolic Film-Coated Quartz Crystal Microbalances_supp2-3622641.xlsx
[NO] 553/1000 | Suppression of Surface Discharge in Atmospheric Air by Corrugated Barrier Structure Fabricated Using 3D Printing
[NO] 554/1000 | Improving Dynamic Response in Wireless Power Transfer Receiver Buck Converters via DC-Link Peak Voltage-Based Loop Control
[NO] 555/1000 | A Terahertz SAR Motion Compensation Method Based on Adaptive Aperture Decomposition and SFLS
[NO] 556/1000 | Generation of Seamless Seasonal NDVI Products from Multi-Source GaoFen Images
[NO] 557/1000 | Welcome Message from the VIS 2025 General Chairs
[NO] 558/1000 | Phase-coded FMCW Laser Headlamp for Integrated Sensing, Communication, and Illumination
[NO] 559/1000 | Quantifying the Economic Loss and Operational Implications of Air Pollution on Grid-Connected PV Systems in the Arabian Peninsula: A Machine Learning-Based Analysis
[NO] 560/1000 | NLSDR-Net: A Lightweight Nonlocal Spatial Disparity Refinement Network for Robust and Real-Time Stereo Matching
[NO] 561/1000 | Mizan: An Innovative Tool for Building Arabic Morphological Pattern Dictionaries and Enhancing Lexical Resource Development
[NO] 562/1000 | Conversations with a Prominent Propagator: Jens Mönig
[NO] 563/1000 | Guiding mHealth Development for Non-communicable Diseases: A Theory-Based Design Science Framework
[NO] 564/1000 | An Interpretable AI Model for Alzheimer's Disease Detection using Retinal Images
[NO] 565/1000 | TSR: Classifying and Scheduling of IoT Tasks in Heterogeneous Cloud-Fog Computing Environment
[NO] 566/1000 | Evolutionary Multitasking with Second-Order Knowledge Information for Community Detection
[NO] 567/1000 | Migration of HV-MOS Buck Converter Design to LV-MOS Variant - Challenges in Aging EOS Verification
[NO] 568/1000 | Comparative Analysis of SVR and Random Forest Classifiers for Short-Term Buy Signal Prediction in Indian Equities
[NO] 569/1000 | Real-Time Road Accident Prediction in Smart Cities using a Hybrid Random Forest–LSTM Model
[NO] 570/1000 | A Wigner-Based Migration Technique for Target Detection and Localization
[NO] 571/1000 | A Stochastic Approach to Frequency Reserve Modeling Using Artificial Neural Networks
[NO] 572/1000 | Deep Learning-Based Prognostic Modeling for Alzheimer's Disease
[NO] 573/1000 | Collaborative Control System of Photovoltaic Station Intelligent Cleaning System Supported by Internet of Things Technology
[NO] 574/1000 | Exploration on the Application of Artificial Intelligence in the Operation and Maintenance of Power Grid Metering Automation System
[NO] 575/1000 | Research on the Calculation Method of Transformer Discharge Fault Probability
[NO] 576/1000 | Thena: Torus Fully Homomorphic Encryption on Energy-Efficient Heterogeneous Architecture
[NO] 577/1000 | Design and Implementation of a Low-Cost Foot Pressure Sensor for Lower-Limb Exoskeletons: The Case of HERMES EXO
[NO] 578/1000 | Hybrid Deep Learning Models in Stock Market Forecasting: A Review
[NO] 579/1000 | Graph Neural Network-Based Modeling Study of the Molecular Mechanisms of Intestinal Metaplasia-to-Gastric Cancer Transformation Under the Action of mRNA Vaccines
[NO] 580/1000 | Preliminary Analysis of a Microwave Imaging System for Detecting Inclusions in Non-Planar Hosting Media
[NO] 581/1000 | Optimization Strategy for Microgrid Operation Based on Unsupervised Dynamic Feature Selection Algorithm
[NO] 582/1000 | Epilepsy Detection and Localization using EEG Signals
[NO] 583/1000 | TF-DiffEEG: High-Fidelity iEEG Reconstruction from Scalp EEG via Dual-Domain Diffusion
[NO] 584/1000 | RF Effects and Coupling Simulation for Biological Systems
[NO] 585/1000 | An Optimized Carrier-Based Modulation for Circulating Currents Reduction in Parallel-Operated Inverter Fed FESM
[NO] 586/1000 | PIM-SUM: Fast and Reliable In-Memory Summation for Recommendation Systems
[NO] 587/1000 | Analysis of User Experience in Virtual Reality Court for Supporting Succesful of Legal Education
[NO] 588/1000 | Assessing the Influence of Grid-Forming Wind Power Plants and Battery Energy Storage on Dynamic Cascading Failures in Power System
[NO] 589/1000 | Adaptive Multimodal Biometric Authentication for Secure and Inclusive Access
[NO] 590/1000 | Beam Position Measurement Algorithm Based on Robust Moving Total Least Squares Method
[NO] 591/1000 | Detection of Model Poisson Attack in Federated Learning System Using AAE in IIoT Systems
[NO] 592/1000 | Analysis of Public Sentiment Towards the 2025 Budget Efficiency Policy on Social Media X Using Naïve Bayes and Support Vector Machine
[NO] 593/1000 | Optimization of IoT-Based Hybrid Solar-Battery Microgrids Using Modified Firefly Algorithm
[NO] 594/1000 | A Reinforcement Learning Simulator for Multi-UAV Based Network Coverage Problem
[NO] 595/1000 | Intelligent Robot Path Planning Performance Optimization and Control Strategy Integrating Reinforcement Learning and AlphaEvolve
[NO] 596/1000 | IGET-- A Knowledge Transformation Model Considering Generative AI
[NO] 597/1000 | Transfer Learning Approach in Optimizing CNN-Based Javanese Script Classification
[NO] 598/1000 | Evaluation of Polynomial-Based Approximate S-Box for AES under Paillier Partial Homomorphic Constraints
[NO] 599/1000 | Optimizing Image Dehazing with Balanced Loss and Feature Map Enhancement
[YES] 600/1000 | Adaptive Two-Layer Inspection Framework for Mitigating Security Risks in Large-Scale Vertical Domain Language Models
[NO] 601/1000 | Corporate Social Responsibility Activity and Reporting in Singapore Hospitality Sector
[NO] 602/1000 | A Review of Lumbar Disc Herniation Classification on Deep Neural Network Approaches
[NO] 603/1000 | Sensor Deployment in mm-Near Field Monostatic Radar Imaging
[NO] 604/1000 | Semantic-Aware Learning-Driven Multimodal Night Vision Image Fusion Framework
[NO] 605/1000 | Hyperparameter Optimization Algorithm for Satellite Clock Bias Prediction Model Based on Deep Learning
[NO] 606/1000 | A Novel RT-DETR Based Framework for High-Precision PCB Defect Detection: Implementation
[NO] 607/1000 | Detection of Phishing Websites using Feature Selection and Image Embeddings
[NO] 608/1000 | Semantic Pathway: An Interactive Visualization of Hidden States and Token Influence in LLMs
[NO] 609/1000 | Optimizing Virtual Power Plant Participation in Demand Response Events Using Aggregated Member Battery Capacities
[NO] 610/1000 | Pixel-DNA: Increasing Robustness of Approximate DNA Storage for Images by Using Hierarchical Deduplication
[NO] 611/1000 | LAURA: A Legal Agent Using Reasoning and Acting for Vietnamese Law
[NO] 612/1000 | Scope Meets Screen: Lessons Learned in Designing Composite Visualizations for Marksmanship Training Across Skill Levels
[NO] 613/1000 | A Nonuniform Meshing Scheme for a FDTD in Spherical Coordinates
[NO] 614/1000 | Evaluation of Measurement Uncertainty for Vertical Elevation Angle of Wind Direction of Three-dimensional Positive-definite Ultrasonic Anemometer
[NO] 615/1000 | Early Pancreatic Cancer Detection using Hybrid Stacking Ensemble Model
[NO] 616/1000 | Traffic Light Surveillance Management using YOLOv12
[NO] 617/1000 | An Early Warning Application for Detecting Low-Frequency Oscillations in Power Systems
[NO] 618/1000 | The Bistability Phase Diagram for Quantum Dot Supercrystals Subject to Continuous Radiation
[NO] 619/1000 | Towards Low-Latency and Adaptive Ransomware Detection Using Contrastive Learning
[NO] 620/1000 | Integrating Human Feedback and Unsupervised Fine-Tuning in Open-Domain Short-Answer Grading: A Scalable HITL Architecture
[NO] 621/1000 | An Explainable AI Framework Combining Multi-Task GCN and Reinforcement Learning for Adaptive Feeding and Animal Health Management in Dairy Farming
[NO] 622/1000 | A RoBERTa-Centric Hybrid Approach using LSTM and BiGRU for Sentiment Analysis of Online Reviews
[NO] 623/1000 | AI-Powered Threat Detection and Response System for Next-Gen Cyber Defense
[NO] 624/1000 | Human Head Exposure to Bluetooth Frequency - Thermal Response
[NO] 625/1000 | AI-Driven Security for Hierarchical Edge Computing: Combining D2D, WRR, and Queue-Based Load Distribution
[NO] 626/1000 | Addressing the Radio Frequency Interference Problem Through Characteristic Mode Analysis
[NO] 627/1000 | Next-Generation Women's Security using IoT and Geofencing
[NO] 628/1000 | QuFi: Adaptive Tiled Gustavson Output Reuse for Edge Sparse DNN Accelerators
[NO] 629/1000 | Android Application for Bill Splitting and Expense Tracking Using Google Cloud Vision Optical Character Recognition (OCR) and Gemini AI
[NO] 630/1000 | Comparison of Fourier Transform, Windowed Fourier Transform, and Wavelet Transform Methods for Phase Extraction in Tilt Moiré-Fringe-Based Lithography Alignment
[NO] 631/1000 | Antenna Near-Field Reconstruction from Far-Field Data Using Convolutional Neural Networks
[NO] 632/1000 | Power Quality Assessment of EV Fast Charging Systems Using AFE-PSFB Topology
[NO] 633/1000 | Optimization Configuration Method of Distributed Energy Storage for Enhancing the Hosting Capacity of Distributed Network
[NO] 634/1000 | Hybrid Machine Learning Approach for Early Detection of Ovarian Cancer using SVM and KNN Models with Feature Selection
[NO] 635/1000 | Efficiency Improvement of Wireless Charging System Based on Double-layer Multi-transmitters
[NO] 636/1000 | Edge-Aware AI-Model: A Lightweight Deep-Learning for Mapping of Child Growth
[NO] 637/1000 | Electromagnetic Applications of Machine Learning in Space Technology
[NO] 638/1000 | Convolutional Neural Network-Based Transfer Learning for Indonesian Wind and String Instrument Image Classification
[NO] 639/1000 | Optimized Centralized vs Distributed BESS: Techno-Economic-Environmental Comparison in UK LV Networks
[NO] 640/1000 | Sampled Data-Based Observer and Resilient Event-Triggered Controller Design for Cyber-Physical Systems to Mitigate Bounded Mixed Cyber Attacks
[NO] 641/1000 | Power line energy harvesting system for GaN transistors monitoring
[NO] 642/1000 | Small-Object Detection at the Edge: A Pareto-Efficient Benchmark of Lightweight YOLO Models on UAV and Overhead Datasets_supp2-3648968.docx
[NO] 643/1000 | A Survey on Edge-Aware Graph Learning Methods
[NO] 644/1000 | HARMONY: A Holistic Auto-scaling Resilient Model for Multi-Objective Adaptation in Microservices using HPPNs - A Case Study on E-Business Platforms
[NO] 645/1000 | Motion Reproduction System for Environmental Impedance Variation via Data-Driven Identification of Human Stiffness
[NO] 646/1000 | The Characteristic Values of Negative Imaginary Systems and Their Riccati-Balanced Representation
[NO] 647/1000 | ICSCN 2025 Messages
[NO] 648/1000 | Bicycle Sensor Platform (BSP) for Road Anomaly Detection using a Physics-based and Machine Learning aided approach
[NO] 649/1000 | Optimal Quantization for Matrix Multiplication
[NO] 650/1000 | List of Committee
[NO] 651/1000 | RASSE 2025 Copyright
[NO] 652/1000 | Peak Age of Information Analysis for Real-Time Status Update Systems Based on Martingale Theory
[NO] 653/1000 | SFOM-PPO: An SINR-Aware Feature Optimization Mechanism-Driven Resource Allocation Scheme for Semantic Spectral-Efficient Image Transmission
[NO] 654/1000 | MSWiM 2025 List Reviewer Page
[NO] 655/1000 | Steering Committee
[NO] 656/1000 | Attention-Augmented LSTM for Short-Term Wind and PV Power Forecasting
[NO] 657/1000 | Analysis of Transmission Line Effect of Dynamic Capacitive Power Transfer System With Long Transmitting Plates
[NO] 658/1000 | Intelligent Substation Energy Allocation for Regenerative Braking by Reinforcement Learning
[NO] 659/1000 | Design of Accounting Resource Sharing Platform Based on Data Mining and Cloud Computing
[NO] 660/1000 | Random Forest Machine Learning Model for Prediction of Compressor Failure Using Intelligent Controller
[NO] 661/1000 | An Autonomous Network Positioning Technique for B5G/6G Applications
[NO] 662/1000 | Design of High-Precision Aqueous Solution Conductivity Meter
[NO] 663/1000 | Influence of acidic products on the oxidation stability of synthetic ester insulating oil
[NO] 664/1000 | Personalized Tonal Harmony Parsing via Scoring-Based Tree Selection
[NO] 665/1000 | Cross-Attentive Autoencoder Framework for Multimodal Data Fusion in Internet of Vehicles Systems
[NO] 666/1000 | MH-SpGEMM: Efficient Sparse General Matrix-Matrix Multiplication on Modern GPUs via Masking and Hashing Cooperative Optimization
[NO] 667/1000 | Development of the Ambipolar Electric Field in a Compressed Current Sheet with and without a Guide Field
[NO] 668/1000 | A Reproducible Framework for Rooftop PV Segmentation Using ResNet-50 and Mini U-Net on Google and IGN Imagery
[NO] 669/1000 | Fake Number Plate Detection Using Vehicle Image Analysis: A Robust Verification System
[NO] 670/1000 | Sensor Data Fusion and Intelligent Monitoring System for Concrete Pile Construction
[NO] 671/1000 | Investigating the Impact of Electrical Disturbances on the Dynamics of Coupled Electrolyzer-Compressor Systems
[NO] 672/1000 | Sentiment Analysis on the JMO Application Using Random Forest with Grid Search Optimization
[NO] 673/1000 | SSM-RDU: A Reconfigurable Dataflow Unit for Long-Sequence State-Space Models
[NO] 674/1000 | Design and Simulation of RSRA Resonator Sensor for Adulteration Detection in Milk
[NO] 675/1000 | V2X Message Multi-Label Classification: A Deep Learning Approach
[NO] 676/1000 | Impact of Orthogonal Signal Characteristics in Orthogonal Distance Regression Algorithm on Time Base Jitter Compensation for Broadband Sampling Oscilloscopes
[NO] 677/1000 | Quantum Cryptography and Key Distribution for Secure Communication in the Post Quantum World
[NO] 678/1000 | A Machine Learning Framework for Predicting Wind Turbine Active Power from Multivariate Sensor Data
[NO] 679/1000 | Qualitative Multimodal Diagnostic Assessment of PV Installations: Field Results from the PROMISE Second Advanced School in Malta
[NO] 680/1000 | A Study on Microgrid System Planning for Convenience Stores Considering Energy Storage Dispatch Potential
[NO] 681/1000 | Investments in Residential Solar Panel-, Battery-and Energy Management Systems: Insights from the Belgian Market
[NO] 682/1000 | IC Fault Diagnosis Using Bayesian Network and Simulated Annealing
[NO] 683/1000 | A Secure Framework for Geofenced Data Encryption via Cryptographic Hashing and Multi-Channel Steganography
[NO] 684/1000 | Polymatroidal Representations of Aggregate EV Flexibility Considering Network Constraints
[NO] 685/1000 | Optimization of Catenary Maintenance Using Multi-Strategy Improved Dung Beetle Optimization Algorithm
[NO] 686/1000 | Integration with AI ML-Smart Decision Making Framework Enhanced Operational Efficiency, Flexi Integrate Optimization
[NO] 687/1000 | Review of the flexibility potential in positive energy districts: opportunities and challenges
[NO] 688/1000 | Classifying Adverse Voltage Control Interactions in Active Distribution Networks: A Brief Survey
[NO] 689/1000 | Optimizing the Operating Strategy of Over-Installed Renewable Plants With Battery Storage Systems
[NO] 690/1000 | Physics-Informed Neural Networks for Efficient Electric Field Modelling in Deep Brain Stimulation
[NO] 691/1000 | Ensemble Model for Prediction of Protein Backbone Torsion Angles
[NO] 692/1000 | CO
                    <sub>2</sub>
                    Conversion via Magnetic Field Stabilized Glow Discharge
[NO] 693/1000 | High efficiency, cost effective, current source inverter for microgrid photovoltaic generators
[NO] 694/1000 | Research and Design of Portable Heart Rate Detection System Based on STC89C52
[NO] 695/1000 | Assessment of “Reduced Basis” Formulations for Electromagnetic Finite Element Tearing and Interconnecting (FETI) Frequency Sweeps Simulations of Large Reconfigurable Transmit Arrays Antennas
[NO] 696/1000 | Intelligent HVAC Monitoring for Energy Efficiency via LSTM Autoencoder-Based Outlier Detection Model
[NO] 697/1000 | Home Energy Management using End-to-End Learning
[NO] 698/1000 | Remote-Controlled Autonomous Weed Detection and Elimination using Deep Learning
[NO] 699/1000 | Performance Evaluation of Classification Multi Algorithms on Small Dataset: A Comparative-Based Analysis
[NO] 700/1000 | Leveraging k-Weighted Dominating Set for Graph Sparsification
[NO] 701/1000 | Scattering of TM- and TE-Plane Waves Obliquely Incident on Slotted PEC Cylinders with Surfaces Parameterized by the Super-Ellipse Equation
[NO] 702/1000 | Private Returns on Technology Adoption
[NO] 703/1000 | An Urban Data Management Platform for Bridging Trusted Ecosystems, Dataspaces, and Digital Twins
[NO] 704/1000 | Smart and Ready? A Comparative Analysis of Seven EU Countries' Preparedness for Adopting the Smart Readiness Indicator Scheme
[NO] 705/1000 | FedSAE-HS: Hybrid Anomaly Scoring for Semi-Supervised Federated Intrusion Detection
[NO] 706/1000 | Hallucinations in Generative AI: Epistemic Risks for Learners in Educational Applications
[NO] 707/1000 | Smart Choices for Industrial Decarbonization: Impact of Electricity Grid Connection on Risk and Sizing of Photovoltaic-Electrolyzer Systems
[NO] 708/1000 | AI-Driven Back Support Exoskeletons for Agricultural Workers: A Comprehensive Review of Biomechanical Load Reduction and Intelligent Control Systems
[NO] 709/1000 | Methodology for Managing Medical Images, based on the DICOM Standard
[NO] 710/1000 | Inferring Surface Susceptibilities for Mask-Based Metasurface Beam Shaping Using Deep Learning
[NO] 711/1000 | Explainable DeepFake Detection: Comparative Analysis of CNN and Transformer Architecture with XAI
[NO] 712/1000 | Reconstruction of Objects at Cell Scale from Microscope Images with Inverse Scattering Algorithm
[NO] 713/1000 | Loop Radius Optimization for High-Efficiency Wireless Power Transfer System
[NO] 714/1000 | Acceptance of AI in Philippine Higher Education: Exploring the Role of Perceived Interactivity, Satisfaction, and Value on ChatGPT Use Among Manila Undergraduates
[NO] 715/1000 | Plasma Signatures of Small Orbital Debris in LEO
[NO] 716/1000 | Data-Driven Compute Overlays for Interactive Geographic Simulation and Visualization
[NO] 717/1000 | Student Grade Prediction Through GitLab Logs
[NO] 718/1000 | CMT-BMC: A Convolutional Multi-Head Transformer Model for Bone Marrow Classification
[NO] 719/1000 | Exposing ToS-Based Traffic Manipulation with Deep Learning Models
[NO] 720/1000 | An Analytical Model for Electromagnetic Force of PMSM with Auxiliary Slot
[NO] 721/1000 | Application of Artificial Intelligence Technology in Electromagnetic Research of High-Speed Maglev Trains
[NO] 722/1000 | Global Extrema Bias Perception and Recall of Average Data Values in Line Charts
[NO] 723/1000 | Integration of User Interface, Usability, and User Experience Evaluation Methods in Software Development Life Cycle: A Conceptual Model
[NO] 724/1000 | Development of Interactive Online Magazine Based on Data Visualization with Google Data Studio in Tulang Bawang Regency
[NO] 725/1000 | Smart E-Vehicle Charging Station Finder Integrated using GPS, LSTM Model and Battery State Prediction
[NO] 726/1000 | Vehicle-to-Grid Power Exchange Optimization for Sustainable Electric Vehicle Charging Operations
[NO] 727/1000 | Handling Multi-objective Problems On Hybrid Komodo Mlipir Algorithm and Circle Search Algorithm Using Non-dominated Sorting Approach
[NO] 728/1000 | Design and Analysis of Optimized Low Power Dual-Edge-Triggered Pulse Latches
[NO] 729/1000 | Absolute Imaging for Electrical Impedance Tomography with Calderón’s Method
[NO] 730/1000 | AtmoNeuro: A Hybrid 3D-Spatio-Temporal Neural Framework for High-Resolution Probabilistic Global Weather Forecasting
[NO] 731/1000 | Comparison of different co-located renewables and storage energy management schemes within an energy community
[NO] 732/1000 | An Efficient Method for Mining Closed Frequent High Average-Utility Occupancy Patterns
[NO] 733/1000 | Federated Learning-Based Res Forecasting in Smart Grids by Feature Fusion Using Cross Attention Mechanism
[NO] 734/1000 | Research on Facial Expression Recognition Based on Computer Vision
[NO] 735/1000 | Coordination Framework for Active and Reactive Power Provision in Curative Schemes
[NO] 736/1000 | Evaluating the Reproducibility of Machine Learning Models on Healthcare Datasets
[YES] 737/1000 | PCB Stack-Up Recognition Using LLMs
[NO] 738/1000 | User-Driven Co-Design Framework for Building Energy Management Systems Services
[NO] 739/1000 | Soft-Actor-Critic-based Anti-Sway Control for Port Crane Systems with Bounded Disturbances
[NO] 740/1000 | Validation of VIIRS Sea Ice Concentration Product in Baffin Bay
[NO] 741/1000 | ICEAA/IEEE APWC Committees
[NO] 742/1000 | MiHazeFree3D: 3D Bounding Box Prediction for Vehicles and Pedestrians in Fog and Low-Light Conditions
[NO] 743/1000 | PCIAFL: Personalized and Class Imbalance-Aware Federated Learning for Driver Behavior Classification
[NO] 744/1000 | DATAMUt: Deterministic Algorithms for Time-Delay Attack Detection in Multi-Hop UAV Networks
[NO] 745/1000 | Enhancing Robustness in Post-Processing Watermarking: An Ensemble Attack Network Using CNNs and Transformers
[NO] 746/1000 | Vision-Based Policy Learning for High-Speed Autonomous Racing: A Two-Phase Learning Paradigm_supp1-3639812.mp4
[NO] 747/1000 | Mechanism–Data Fusion Modeling for High-Frequency Vibration Prediction in PWM-Driven Active Magnetic Bearings
[NO] 748/1000 | A 2.7–15.5 GHz Programmable Bandwidth Continuous-Time Active Filter in 65 nm CMOS
[NO] 749/1000 | Evolutionary Dynamics of Pairwise and Group Cooperation in Heterogeneous Social Networks
[NO] 750/1000 | Fabrication of an Optimized Low-loss DNANF Used for Visualization of Poled Domain in PPLN
[NO] 751/1000 | Design and Implementation of ROS2 Security Module for Performance and Security Harmonization
[NO] 752/1000 | Key Nodes Prediction and Cascading Failures Mitigation in Dynamic Traffic UASNs Via a GCN-LSTM Model
[NO] 753/1000 | Design of High Voltage Power Supply Grounding Protection System for Upgrading Pulsed High Magnetic Field Facility in WHMFC
[NO] 754/1000 | VAE-GAN-Based Semantic Communication for High-Quality Image Transmission
[NO] 755/1000 | Integrated Super-resolution Sensing and Symbiotic Communication with 3D Sparse MIMO for Low-Altitude UAV Swarm
[NO] 756/1000 | Negative Voltage Active Turnoff Characteristics of RB-IGCT and Its Low Loss Application in Hybrid Commutated Converter
[NO] 757/1000 | Cascade Observer Design for a Class of Disturbed Nonlinear Systems with State and Output Delays
[NO] 758/1000 | Editors' Welcome
[NO] 759/1000 | ML-based Intelligent Threat Identification for Phishing and SQL Injection Attacks
[NO] 760/1000 | Computing-in-Memory Dataflow for Minimal Buffer Traffic
[NO] 761/1000 | ReVise: A Human-AI Interface for Incremental Algorithmic Recourse
[NO] 762/1000 | Global Trade Pattern Analysis Using DBSCAN: Identification of Country Groups Based on Export and Import Trends
[YES] 763/1000 | Implementation of Fair Chance Round Robin Arbiter and its Comparative Analysis
[NO] 764/1000 | Heterogeneous Algorithm for Ship Detection Based on Feature Fusion of PConv Combined with SAM
[NO] 765/1000 | Enhancing Supply Chain Resilience Through Federated Learning and Distributed Edge Intelligence for Real-Time Decisions
[NO] 766/1000 | Clustering and Association Rule Data Mining for Student Performance Optimization in Free Nutritious Meal Programs Using the Apriori Algorithm and K-Means
[NO] 767/1000 | Extended Boundary Condition Method for Wave Scattering by Dielectric Cylinders in Planar Layered Medium
[NO] 768/1000 | Wavelet-Enhanced Hybrid Deep Neural Network for Robust Phonocardiogram Classification Using PhysioNet 2016 Challenge Dataset
[NO] 769/1000 | Ablation Characteristics of Contact Wires in the Pantograph–Catenary System under Successive Arcing Events
[NO] 770/1000 | A Deep Learning Model for Real-Time On-Device Marine Oil Spill Detection
[NO] 771/1000 | Jitter Decomposition Based on Dual-Dirac Model: A Two-Stage Limited-Sampling Algorithm
[NO] 772/1000 | GAN-Based Image Inpainting and Their Applications in Medical Image Inpainting
[NO] 773/1000 | Computational Modeling of a Microstrip Antenna and Measurements with a Nano VNA
[NO] 774/1000 | Identifying and Locating Tree Decline and Dieback in DoñAna Biological Reserve with Venus VM5 Images
[NO] 775/1000 | Research on Dual-Frequency Miniaturization Multifunctional Coding Metasurface Based on Transmission and Reflection Integration
[NO] 776/1000 | IoT-based Home Automation System for Energy Conservation
[NO] 777/1000 | Toward Resilient and Sustainable Energy Systems: Assessment of Networked Microgrids for Disaster-Prone Regions in Indonesia
[NO] 778/1000 | AnnoLens: Exploration and Annotation through Lens-Based Guidance
[NO] 779/1000 | Regularized Solution of 2D Scattering from Impedance-Loaded Cavities: The TE-Case
[NO] 780/1000 | Optimization of Power Configuration Based on the Combined Algorithm of Simulated Annealing Particle Swarm
[NO] 781/1000 | Optimizing SDN Controllers with Huffman Coding for Smarter Flow Management
[NO] 782/1000 | Using Dust Plasma Interactions to Shed Light on Magnetic Field Aligned Electron Density Structures in the Magnetized Dusty Plasma EXperiment (MDPX)
[NO] 783/1000 | A 5.8 GHz Antenna Radiation Pattern with Four-Leaf Clover for Vehicular Communications and Sensing
[NO] 784/1000 | Design and Implementation of a Solar-Powered Analog RF Jammer for Drone Interception at 2.4 GHz
[NO] 785/1000 | Simulation and Test of 112Gbps SerDes Power Noise
