[2025-12-13 09:09:19] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-12
正在获取论文...
[ACM] 2025-12-12 | Datalog-Expressibility for Monadic and Guarded Second-Order Logic
[NO] 511/1000 | Data-Driven Simulation System for Industrial Fused Magnesia Furnaces
[NO] 512/1000 | Lightining Protection for Lifelines - Considerations
[NO] 513/1000 | Weather Predictions Using Fuzzy TOPSIS &amp; Fuzzy AHP
[NO] 514/1000 | Digital Twin-Based Reinforcement Learning for Beam Selection in Cell-Free Networks
[NO] 515/1000 | Evaluation of Packaging Printing Quality Defects Based on Linear Array CCD
[NO] 516/1000 | Development of Grafana-Based Dashboard in Garbage Collection Visualization System
[NO] 517/1000 | Risk Analysis and Safety Measures in the Use of Temporary Grounding in Electrical Networks
[NO] 518/1000 | A Three-stage Detector for Massive MIMO System with Mixed ADCs
[NO] 519/1000 | Multiple-objective Coordinated Steering Control of the Corner Module Electric Vehicle
[NO] 520/1000 | Matching Under Uncertainty: Toward Robust and Communication-Efficient Perception in Embedded Multi-Agent Systems
[NO] 521/1000 | SSP-SAM: SAM with Semantic-Spatial Prompt for Referring Expression Segmentation
[NO] 522/1000 | AI-Driven Inverse Antenna Design in UWB Band: Embedding Forward Consistency into Deep Learning Architectures
[NO] 523/1000 | A Lightweight Transfer Learning-Based State-of-Health Monitoring With Application to Lithium-Ion Batteries in Autonomous Air Vehicles
[NO] 524/1000 | EpiScale: Large-Scale Simulation of Infectious Disease Based on Human Mobility
[NO] 525/1000 | An Expectation Maximization Sample Transfer Identification Method for Dynamic Systems Under Non-ideal Data
[NO] 526/1000 | ICDM: Interference Cancellation Diffusion Models for Wireless Semantic Communications
[NO] 527/1000 | A Checks-and-Balances Framework for Context-Aware Ethical AI Alignment
[NO] 528/1000 | CRIT: Socratic Inquiry for Critical Thinking in LLMs
[NO] 529/1000 | Human Mobility Prediction with Multi-Task Curriculum Training
[NO] 530/1000 | Multi-Scale Diffusion Transformer for Jointly Simulating User Mobility and Mobile Traffic Pattern
[NO] 531/1000 | Omni-CityMood: Vision-based Urban Atmosphere Perception from Every Angle
[NO] 532/1000 | Burning Reality: Experiencing Climate Change through Virtual Reality
[NO] 533/1000 | Construction and Utilization of a Partial Scale Map for Navigation on Distorted Indoor Maps
[NO] 534/1000 | Moisture Prediction in Tobacco Drying Process Based on the NRBO-GRU Algorithm
[NO] 535/1000 | Leveraging ISAC for Adaptive Cell Zooming in Mixed FSO-RF Networks
[NO] 536/1000 | A Dual-hop Uplink IM-OFDMA System with Decode-and-Forward Relays
[NO] 537/1000 | Animal Intrusion Detection in Agriculture Fields Using IoT and Machine Learning
[NO] 538/1000 | A Conceptual Framework for Neonatal Motor Activity Monitoring Using Digital Twin Technology and Computer Vision: A Preliminary Study
[NO] 539/1000 | Online Prediction of Oxygen Content in Municipal Solid Waste Incineration Process Based on Improved Random Weight Neural Network
[NO] 540/1000 | Expanding Access to Science Participation: A FAIR Framework for Petascale Data Visualization and Analytics_supp2-3642878.mp4
[NO] 541/1000 | Experimental Study on the Influence of Design Parameters on 1500V DC Circuit Breaker Interruption Performance
[NO] 542/1000 | Remote Estimation of Spatial Sound Energy Distribution for Real-Time Sound Source Localization
[NO] 543/1000 | sEMG-based Arm Movement Prediction by LSTM for Realtime Teleoperation
[NO] 544/1000 | Intelligent Document Camera for Enhancing Writing Instruction and Demonstration
[NO] 545/1000 | HLM 2025 Copyright Page
[NO] 546/1000 | Secure UAV Relay under Jamming and Eavesdropping via Trajectory-Power Optimization
[NO] 547/1000 | 2025 21st IEEE International Conference on Mechatronic and Embedded Systems and Applications (MESA)
[NO] 548/1000 | Adaptation to Non-Individualized Head-Related Transfer Functions by Imparting Visual Spatial Characteristics with Virtual Reality
[NO] 549/1000 | Basic Evaluation of a Distributed Processing Platform with Reconfigurable Software Module Composition
[NO] 550/1000 | GCCE 2025 Committees
[NO] 551/1000 | Design of Acoustic Metadata on Object-Based Audio Utilizing Estimated 3D-Position of Sound Source in Video
[NO] 552/1000 | Multi-Class Brain Computer Interface Using Electrical and Mechanical Stimuli
[NO] 553/1000 | Contract-based Incentive Mechanism for AI-Generated Content Services in Vehicle Edge Computing
[NO] 554/1000 | Development of a VR-based fitness game designed for individuals living with Parkinson's disease
[NO] 555/1000 | Goal-oriented Semantic Communication for the Metaverse Application
[NO] 556/1000 | IEEE/IEC International Standard Instrument transformers--Part 21: Uncertainty evaluation in the accuracy test of instrument transformers
[NO] 557/1000 | A Novel Water-Substrate-Based Dual-UWB Conformal Antenna with Radiation Stability for Diverse IIoMT Applications
[NO] 558/1000 | A Radiative Transfer-Driven Deep Learning Framework for Accurate Estimation of Rice Growth Parameters Using Multi-Source UAV Data
[NO] 559/1000 | TrajNS: Numerical and Semantic Modeling Framework for Realistic and Controllable Trajectory Generation
[NO] 560/1000 | Extended BPPM Signal Design for Frame Synchronization in Modified MPPM
[NO] 561/1000 | 3D Point Cloud Registration Based on Planes Extracted Using a Neural Network
[NO] 562/1000 | Effective Fine-Tuning of Vision Transformers with Low-Rank Adaptation for Privacy-Preserving Image Classification
[NO] 563/1000 | Enhancing Image Classifier Robustness via Prompt-Based Counterfactual Data-Augmentation with Intermediate Transitions
[NO] 564/1000 | Towards Robust Prediction of Tobacco Box Logistics System Status: A Multi-Feature Framework with Dynamic Graph Learning
[NO] 565/1000 | DRL-based Network Slicing for Unifying 5G and Wi-Fi Networks
[NO] 566/1000 | Evaluating the Resilience of 2D Conferencing Platforms in VR Under Packet Loss: A Pilot Study
[NO] 567/1000 | Performance Analysis of YOLO Models for Real-Time Surveillance Object Detection
[NO] 568/1000 | The next level of user experience for mobile devices with inertial MEMS sensors
[NO] 569/1000 | Construction and Application of Multi-Layered Urban Digital Twin Platform Integrating Open Data and 3D Visualization
[NO] 570/1000 | AI-Driven Cross-Layer Modulation Towards 6G
[NO] 571/1000 | Securing Task-Oriented Semantic Communications: A Physical-Layer Solution
[NO] 572/1000 | SSM-based Sequential Recommendation Considering Short-term Dependencies of Time and Adjacency
[NO] 573/1000 | Sonification Strategies for Mapping Visible Element Emission Spectra to Perceptually Relevant Sounds While Retaining Tonal Information
[NO] 574/1000 | User-Centered Insights into Analogue and Digital Mixing: Perspectives of Novice Music Producers
[NO] 575/1000 | A Review of Mechanisms of Lightning Injuries
[NO] 576/1000 | Distributionally Robust Model Predictive Control with Mixture of Gaussian Processes
[NO] 577/1000 | Global Funnel Control of Single-Link Manipulators With Flexible Loads
[NO] 578/1000 | Trust-Driven Multi-Criteria Optimization for UAV-Assisted IoT Networks
[NO] 579/1000 | Federated Learning for UAV-based Spectrum Sensing: Enhancing Accuracy Through SNR-Weighted Model Aggregation
[NO] 580/1000 | Interactive Brain Activity Enhancement Using Hand-Based Exercises: A Game for Alzheimer Patients
[NO] 581/1000 | PIMRC 2025 Breaker Page
[NO] 582/1000 | Resource-Constrained OCT Classification via Adaptive Distillation and Optimized Training
[NO] 583/1000 | A Novel Approach to SME Security: Integrating Hardware Primitives on COTS Platforms
[NO] 584/1000 | Improving the Recognition Probability of Image Based Text
[NO] 585/1000 | Jamming Detection in Cell-Free MIMO with Dynamic Graphs
[YES] 586/1000 | AI-Driven Framework for Automating Infrastructure Provisioning and Compliance Validation in Cloud-Native Environments
[NO] 587/1000 | Real-Time Safe and Smooth Visual Servoing for Robot Manipulators via Reinforcement Learning_supp1-3634401.mp4
[NO] 588/1000 | Deploying UAVs and Surveillance Cameras for Continuous Omnidirectional Monitoring_supp1-3642129.pdf
[NO] 589/1000 | 2025 Reviewers List
[NO] 590/1000 | FlowMamba: Building Damage Assessment via Optics Flow-based State Space Model
[NO] 591/1000 | Temporal Refinement of Muscle Synergies in Skilled Golf Swings_supp1-3642830.docx
[NO] 592/1000 | Highly sensitive QCM humidity sensor based on Nafion/cellulose nanocrystal nanocomposite
[NO] 593/1000 | MAM: A zkSNARK-based Protocol for Privacy-Preserving Cross-Metaverse Asset Interoperability
[NO] 594/1000 | IDSE-YOLO: An Infrared Recognition Model for Substation Equipment
[NO] 595/1000 | Hybrid MRR-Assisted Long-Range SDMA for RO-ISAC Systems in Industry IoT Applications
[NO] 596/1000 | AS-Level Topology Inference for Path-Aware Networking
[NO] 597/1000 | Robotic Double Patch Clamp Based on Interactive Mechanical Modeling for Functional Connectivity Measurement Between Neurons_supp2-3642790.mp4
[NO] 598/1000 | Integrated Photoacoustic-Metabolomic Platform for Multimodal Assessment of Sepsis-Induced Brain Dysfunction_supp1-3637090.mp4
[NO] 599/1000 | Development of a Novel 7-DOF Position-Orientation Decoupled Microsurgical Robot with Motorized Instruments for Microvascular Anastomosis_supp1-3643333.mp4
[NO] 600/1000 | Novel Regular Hexagonal Six-Port Hybrid Couplers for Multibeam Applications
[NO] 601/1000 | Enhancing Rogue-Emitter Rejection in Open-Set Specific Emitter Identification with Out-of-Distribution Signals
[NO] 602/1000 | Detection of Model-based Planted Pseudo-cliques in Random Dot Product Graphs by the Adjacency Spectral Embedding and the Graph Encoder Embedding
[NO] 603/1000 | GEXPNET: a Novel Gene EXPression NETwork for Tumor Classification Using the ResNet-based Deep Learning Approach
[NO] 604/1000 | Institutional Listings
[NO] 605/1000 | Mobility-Aware Covert Communication via RIS: Phase Optimization Under Mobile Detection Constraints
[NO] 606/1000 | On the Impact of Tracking Inaccuracy in Space-Based Quantum Key Distribution: A Stochastic Geometric Approach
[NO] 607/1000 | Edge Agentic AI Framework for Autonomous Network Optimisation in O-RAN
[NO] 608/1000 | Double Layered Scheduling Structure for Outage Work Planning Collaboration System
[NO] 609/1000 | Phantom-Based Measurement of Transcutaneous Hybrid WPT System for Implantable Devices
[NO] 610/1000 | Dynamic Uplink Resource Muting for Cross-Link Interference Estimation
[NO] 611/1000 | Sensing-Assisted Robust UAV Beam Tracking with Jittering Effect
[NO] 612/1000 | Exploring a Comment Sharing System To Reduce Student Silence in University Classes
[NO] 613/1000 | Validations of Electric Arc Simulation
[NO] 614/1000 | Foul Severity Classification from Multi-View Soccer Videos with Attention and Class Characteristics
[NO] 615/1000 | Real-Time Fish Activity Level Assessment System with Visual Feedback Using Rose Diagram
[NO] 616/1000 | Enhancing OpenAI Models for Robust Speech Recognition Using Mandarin Speech Datasets
[NO] 617/1000 | Supporting English Reading by Integrating Features of Long Sentences with Music
[NO] 618/1000 | On the Performance of NOMA-Assisted ISAC Networks in the Presence of Co-Channel Interference
[NO] 619/1000 | Deep Reinforcement Learning Based MCS Selection in Open RAN for Vehicular Communications
[NO] 620/1000 | Sound Safeguarding for Acoustic Measurement Using Any Sounds: Tools and Applications
[NO] 621/1000 | Online Learning for Autonomous Management of Intent-Based 6G Networks
[NO] 622/1000 | Version Age of Information in Short-Packet Broadcast Channels: OMA vs. NOMA
[NO] 623/1000 | Achieving Block-Code-Based Probabilistic Amplitude Shaping at Low Spectral Efficiency: A New Interface for 6G
[NO] 624/1000 | Clinical Trial of 8K Laparoscopic Surgery System with Real-Time Telementoring and Local 5G Networks
[NO] 625/1000 | Bridging the ECHONET Lite Protocol and the EU Code of Conduct for Energy Smart Appliances
[NO] 626/1000 | 2025 IEEE ESW Brazil – Electrical Safety Workshop Brazil (ESW Brazil)
[NO] 627/1000 | Deep Reinforcement Learning Based xApp for RAN Slice Management Using OpenAirInterface
[NO] 628/1000 | A method for monitoring ultrasonic cavitation intensity in manufacturing applications
[NO] 629/1000 | Building Efficient LLM Pipeline for Human Mobility Prediction
[NO] 630/1000 | MODyPer: Multi-Objective Dynamic Personalized Route Planning for Vulnerable Road Users
[NO] 631/1000 | Urban-STA4CLC: Urban Theory-Informed Spatio-Temporal Attention Model for Predicting Post-Disaster Commercial Land Use Change
[NO] 632/1000 | Benchmarking Geospatial Question Answering with MapQA
[NO] 633/1000 | Uncertainty-Aware Anomaly Detection in Spatiotemporal Climate Data [Experiment]
[NO] 634/1000 | GenUP: Generative User Profilers as In-Context Learners for Next POI Recommender Systems
[NO] 635/1000 | Unsupervised Urban Land Use Mapping with Street View Contrastive Clustering and a Geographical Prior
[NO] 636/1000 | Prediction of Dengue Incidents: A Spatio-Temporal Approach with SEIR and Graph Neural Networks
[NO] 637/1000 | TriDF: Triplane-Accelerated Density Fields for Few-Shot Remote Sensing Novel View Synthesis
[NO] 638/1000 | Enhancing Text-based Image Captioning through Text-aware Self-critical Training
[NO] 639/1000 | Inter-tape contact resistance characterization of soldered stacked-tape cable samples in liquid nitrogen
[NO] 640/1000 | Designing for the Unlikely: Mitigation Against Rare, High-Impact Threats
[NO] 641/1000 | Ethics in Review: When Researcher Responsibility Meets Peer Review
[NO] 642/1000 | Building CHI Capacity in Central Europe: Summer School and Mentoring Workshop in Łódź
[NO] 643/1000 | VisitFrequency-Diffusion: Leveraging Recurrent Visits for Long-Term Individual Trajectory Forecasting
[NO] 644/1000 | PortVIS: An Interactive Platform for Port-to-Port Trajectory Imputation and Visual Analytics
[NO] 645/1000 | Physics-Guided Multi-Contextual Learning: Understanding the Surface and Subsurface Processes in Southeast Greenland
[NO] 646/1000 | CD-TVD: Contrastive Diffusion for 3D Super-Resolution with Scarce High-Resolution Time-Varying Data_supp2-3634787.mp4
[NO] 647/1000 | BDIViz: An Interactive Visualization System for Biomedical Schema Matching with LLM-Powered Validation
[NO] 648/1000 | Generating Any Changes in the Noise Domain
[NO] 649/1000 | The Influence of Miniaturization of Hydraulic Oil Tank on Degassing and Impurity Removal Function
[NO] 650/1000 | MSG-Loc: Multi-Label Likelihood-based Semantic Graph Matching for Object-Level Global Localization_supp1-3643293.mp4
[NO] 651/1000 | Flexible LIG Pressure Sensor Incorporating a PVA-Based Conical Microstructured Layer Fabricated via Flash Foam Stamp Technique_supp3-3640932.docx
[NO] 652/1000 | Deep-Learning-Based PAPR Reduction for Pilot-Embedded AFDM Signals
[NO] 653/1000 | Oriented Vehicle Joint Detection and Tracking in Satellite Video via Identifier-free Point Supervision
[NO] 654/1000 | Latency and Reliability-Aware Dynamic Task Offloading and Scheduling for Energy-Harvesting Systems in Mobile Edge Computing_supp1-3642711.pdf
[NO] 655/1000 | Evaluation of Stress Response Using Smartphone PPG for Anxiety and Depression Monitoring
[NO] 656/1000 | GreenDLS: An Energy-Efficient and SLO-Aware Deep Learning Serving System
[NO] 657/1000 | Evaluation of Route Invalidation Mechanisms and Network Recovery in Wireless Sensor and Actuator Networks
[NO] 658/1000 | Enhancing Prediction Confidence in Multi-Source Source-Free Domain Adaptation for Fault Diagnosis
[NO] 659/1000 | Data Transmission in Bluetooth: a Review
[NO] 660/1000 | Multi-Task Lifelong Reinforcement Learning for Wireless Sensor Networks
[NO] 661/1000 | APDM: Cyclic-Aware Attentional Diffusion Model with Parametric Prior Fusion for Probabilistic Multivariate Time Series Forecasting
[NO] 662/1000 | Novel Beamforming Designs Performance Analysis of Smart Cities IoT Systems
[NO] 663/1000 | GCCE 2025 Subject Index Page
[NO] 664/1000 | Safety Assessment of Generative AI Models in Home IoT Contexts
[NO] 665/1000 | Anomaly Detection Using Optical Flow Error and Grad-CAM
[NO] 666/1000 | Consumer-Centric Multi-Objective Energy Management with Adaptive Load-Shifting Flexibility
[NO] 667/1000 | Personalized and Cluster-Based Parameter Fitting for Extended TSENS
[NO] 668/1000 | Exploring Customer Acceptance of AI-Enabled Digital Logistics Services
[NO] 669/1000 | Mobility Management in Scalable Cell-Free MIMO Networks Under Channel Aging and Handover
[NO] 670/1000 | Design of SVD-Precoded Faster-Than-Nyquist Signaling Considered Inter-Block-Interference
[NO] 671/1000 | Data Analysis on the Improvement of Basic Motor Skills Using a Cloud-Connected Training Machine
[NO] 672/1000 | Zero-Forcing Assisted RFMD Detection of SE-MOCZ for Non-Coherent Short Packet Communications
[NO] 673/1000 | Database Intrusion Detection System using Adaptive hybrid Archimedes-Flamingo Search Optimized CAE integrated SA-LSTM with modified RNP-Miner
[NO] 674/1000 | Design Asynchronous Microservice Architecture Using Queue Structure and Lightweight Digital Signature
[NO] 675/1000 | Cover
[YES] 676/1000 | A Generative AI Mentoring System for Cultivating Cybersecurity Skills
[NO] 677/1000 | RCAN Based OTFS Signal Detection in the Presence of Hardware Impairments
[NO] 678/1000 | Bearing Remaining Useful Life Prediction Method Based on Dynamic Feature Selection and LSTM-KAN Modeling
[NO] 679/1000 | Iterative Bayesian Model for Ground Point Detection
[NO] 680/1000 | A Study on Improving the Accuracy of Wearable Devices to Alleviate Harvesting Workload
[NO] 681/1000 | Lightweight and Trusted Authentication for Cross-Domain Operation of UAV Swarm
[NO] 682/1000 | A Fatigue-Aware Bicycle Type Recommendation for Cycle Tourism
[NO] 683/1000 | An Interactive Application for Real-Time Circuit Education
[NO] 684/1000 | BuffetAR: A Food Recognition System with Stereo Audio Cues for Blind Users in Conference Dining
[NO] 685/1000 | A Goal-Oriented Effective Communication Scheme via Action Innovations
[NO] 686/1000 | Empathy Enhanced by Vibratory Biofeedback Triggered by Other’s Physiological Arousal
[NO] 687/1000 | An in-Situ Smartwatch-Assisted Approach to Emotional Eating and Dietary Self-Regulation
[NO] 688/1000 | Copyright Page
[NO] 689/1000 | GCCE 2025 Preface
[NO] 690/1000 | RIS-Assisted Covert ISAC via Deep Reinforcement Learning
[NO] 691/1000 | T2AgeNet: A Text-Guided Framework with Tissue Features for Brain Age Estimation
[NO] 692/1000 | UIB-Enhanced Micro-Pose Network for Multi-Target Workpiece Localization and Dimensional Measurement in Industrial Scenes
[NO] 693/1000 | Leveraging small datasets for ethical and responsible AI music making
[NO] 694/1000 | A Meta Device Model for Automated Security Assessment of Internet of Things Devices
[NO] 695/1000 | On the cybersecurity of LoRaWAN-based system: a Smart-Lighting case study
[NO] 696/1000 | Integrating AI Assistants to Advance GIS Application Usability
[NO] 697/1000 | A Hybrid Scheme for Face Video Compression
[NO] 698/1000 | Real-time Multilingual Video Subtitle Spotting on Resource-Constrained Devices
[NO] 699/1000 | A Gear Backlash Identification and Compensation Method to Enhance Industrial Robot Repeatability
[NO] 700/1000 | TakeAD: Preference-based Post-optimization for End-to-end Autonomous Driving with Expert Takeover Data
[NO] 701/1000 | Self-Supervised Spatial-Temporal Consistency for Source-Free Domain Adaptive Segmentation in Remote Sensing Images
[NO] 702/1000 | Remaining useful life prediction of rolling element bearings based on an advanced two-stage degradation model
[NO] 703/1000 | A Novel Lightweight Electromagnetic Induction Sensor for Permafrost Detection and Mapping
[NO] 704/1000 | Low-Carbon Energy Scheduling for Hydrogen-based Steel Heating with Battery Storage
[NO] 705/1000 | Dynamic Digital Twin Development for PMSMs: A Real-Time Physics-Informed Framework for Condition Monitoring
[NO] 706/1000 | List of Reviewers
[NO] 707/1000 | Decentralized Many-to-One Resource Allocation: The Competing Bandit Approach_supp1-3641175.pdf
[NO] 708/1000 | IEEE Standard for Capability Evaluation Requirements of Blockchain Practitioners
[NO] 709/1000 | “TOUCHSTAR”: Exploring Generative AI-Powered Interactive Narrative in Cinematic Virtual Reality
[NO] 710/1000 | Aphorisms for Collaborative Intelligence
[NO] 711/1000 | Physical Modeling of Pitch Bending in Accordions Involving Resonance Effects of Reed Box
[NO] 712/1000 | HLM 2025 Author Information Page
[NO] 713/1000 | BER Prediction in Partially Blocked Rayleigh Channels for Distributed Antenna Systems
[NO] 714/1000 | Development of a Hydropneumatic Actuator for Supercritical Fluid Circuit Breakers
[NO] 715/1000 | AEFL: Adaptive Encryption for Secure and Energy-efficient Federated Learning
[NO] 716/1000 | Optimizing Fertilizer Application in Precision Agriculture Using Deep Learning and Soil Sensor Data
[NO] 717/1000 | Evaluation of Dialogue Translation in a Self-made Game Using a Pre-trained BERT Model
[NO] 718/1000 | Low-Frequency Focused Learning Method for Active Noise Canceling in Headphones
[NO] 719/1000 | Brain State Discrimination Performance of Ensemble Learning Model Based on Spatiotemporal Features from Cerebral Blood Flow for Brain-Computer Interface
[NO] 720/1000 | Foundational Models for Building Clinical Decision Support Systems: An Open-Source Models Comparison
[NO] 721/1000 | Intelligent Radio-Protocol Recognition Leveraging SDR and a Transformer Network
[NO] 722/1000 | INKOOYO Cube: An Interactive Charm with Electronic Paper Display for Everyday Use
[NO] 723/1000 | Enhancing Pond Ecosystem Management with IoT-Based Water Quality Monitoring
[NO] 724/1000 | Reciprocity-Aware Convolutional Neural Networks for Map-Based Path Loss Prediction
[NO] 725/1000 | UMCA: Enhancing UNet with Multi-Scale Cross Attention for Semi-Supervised Medical Image Fusion
[NO] 726/1000 | Low Frequency Laser Noise Model Based on Fourier Transform Methods
[NO] 727/1000 | Prediction of Pedestrian Crossing Intentions Using Wearable Smart Glasses
[NO] 728/1000 | On Reconstruction of Boolean Networks Using Input-Output Data Sets
[NO] 729/1000 | Operational Optimal Control of Flotation Processes via Multi-Step Reinforcement Learning
[NO] 730/1000 | Management and Optimization of Electrical Energy in Greenhouses
[NO] 731/1000 | ASL Gesture Recognition and Speech Conversion
[NO] 732/1000 | Study on the Development of Wireless Gait Function Assessment Devices
[NO] 733/1000 | A Pulse Radar System with UWB Antenna for Noncontact Respiration and Heartbeat Detection
[NO] 734/1000 | Driving Risks and Behavior by Speed Zone
[NO] 735/1000 | Design of Interpretable and Enhanced Anomaly Detection xApp for Traffic Steering in O-RAN
[NO] 736/1000 | Temporal Spectrum Analysis for Multi-Constellation Space Domain Awareness
[NO] 737/1000 | Exploratory Study of AR Hand Redirection using Augmented Virtual Hand
[NO] 738/1000 | Mitigating Frequency-Dependent Mutual Coupling for Wideband Holographic MIMO Communications
[NO] 739/1000 | Development of Leader-Follower based Recording System for Ad-Hoc Microphone Arrays
[NO] 740/1000 | Late transaction settlement on PoA voting Blockchain for higher security crypto token transfer
[NO] 741/1000 | Baby Safety Monitoring: Improving the CNN Model Using Batch Normalization and SGD
[NO] 742/1000 | A Neural Network-aided Low Complexity Chase Decoder for URLLC
[NO] 743/1000 | Surface Texture Display Combining Friction and Vibrotactile Stimuli for Realistic Natural Materials
[NO] 744/1000 | A Soft Sensor Method for Quality Prediction in Industrial Processes Based on Multi-Rate Autoencoder Regression
[NO] 745/1000 | Leveraging Transfer Learning for Rapid Adaptation of ML-based Indoor Propagation Models
[NO] 746/1000 | PH-Mamba: Enhancing Mamba with Position Encoding and Harmonized Attention for Image Deraining and Beyond
[NO] 747/1000 | Optimal Online Control Strategy for Differentially Private Federated Learning
[NO] 748/1000 | Numerical Modeling of Graphene Nanoribbons Salisbury Screen on CaF
                    <sub>2</sub>
                    Substrate for Near-Unity Mid-Infrared Absorption
[NO] 749/1000 | REBot: Reflexive Evasion Robot for Instantaneous Dynamic Obstacle Avoidance_supp1-3643278.mp4
[NO] 750/1000 | Formation Containment for Multi-Agent Networks With Cooperative-Competitive Interactions in Two-Dimensional Space
[NO] 751/1000 | Committee List
[NO] 752/1000 | Enhancing Urban Region Representation via Adaptive Risk-aware Consensus Learning
[NO] 753/1000 | SIGCHI Chapters Updates
[NO] 754/1000 | First Mediterranean CHI Summer School on "Designing Human-Centric Interactive and Intelligent Technology"
[NO] 755/1000 | LLM Agents for Georelating - A New Task for Locating Events
[NO] 756/1000 | Pedestrian Trajectory Prediction via Social Pooling and Transformer Cross Attention
[NO] 757/1000 | Efficient Spatial Joins on Large Geometry Sets
[NO] 758/1000 | DGGVAE: Dual-Granularity Graph Variational Auto-Encoder for Group Recommendation
[NO] 759/1000 | Comparing Trend-Based and Direct HRV Biofeedback in an Adaptive Game Environment
[NO] 760/1000 | Learning from Landmarks, Curves, Surfaces, and Shapes in Geomstats
[NO] 761/1000 | Active Inference for Digital Twins: Predicting and Optimizing IoT Processing Service Performance
[NO] 762/1000 | Session Summary Podcast: Session 1: Late Breaking Results
[NO] 763/1000 | "Body Oracle" Translator: Translating Body Postures into Speculative Hieroglyphs
[NO] 764/1000 | Embodied Motion as Interface: Exploring Abstract Dynamics in Hybrid Environments
[NO] 765/1000 | Introduction to The MACI Framework: A System 2 Architecture for Artificial General Intelligence
[NO] 766/1000 | Real-time rodent pupillometry on an embedded platform for neuromodulation
[NO] 767/1000 | Computing Capability Optimization for STAR-RIS-Assisted WP-NOMA-MEC Systems
[NO] 768/1000 | MFIG-Net: Map-Free Multi-Agent Trajectory Prediction for Signalized Intersection Scenarios
[NO] 769/1000 | Human-Like Autonomous Driving Car-Following Behavior Learning Based on Adversarial Training and Uncertainty-Aware DDPG
[NO] 770/1000 | Special Issue Editorial: Extraction by Design—AI, Value, and the Future of Work
[NO] 771/1000 | Electrical Impedance Analysis of CBD in Aqueous Media: A Prototype Approach Using B2 Graphite Electrodes
[NO] 772/1000 | Prototype of an Embedded Electrical Impedance Tomography System for Coffee Bean Evaluation
[NO] 773/1000 | Funnel Control of Euler-Lagrange Systems with Independent Control Gains
[NO] 774/1000 | Coordinated Planning of Ship Speed and Course for Collision Avoidance Based on the Improved Velocity Obstacle Method
[NO] 775/1000 | Federated Swarm Intelligence for Adversarial Threat Mitigation through Self-Healing Anomaly Consensus Networks
[NO] 776/1000 | Practical solutions to reduce high incident energy in the arc flash study
[NO] 777/1000 | JAFS: Construction of Japanese Anime Face and Speech Dataset for Cross-Modal Speech Synthesis
[NO] 778/1000 | Analysis of Electrical Fires in Brazil
[NO] 779/1000 | Study on Hybrid Recycling CLSC Based on Fuzzy Neural Network Robust Control
[NO] 780/1000 | Intelligent Ground Operations at Airports: A Study on the Implementation of Smart Underground Fueling Systems for Aircraft
[NO] 781/1000 | Mid-Infrared Single-Photon Sources: The Potential of Zblan Glass Optical Fibers
[NO] 782/1000 | Query matching for spatio-temporal action detection with query-based object detector
[NO] 783/1000 | Healthcare Data Exchange: Ensuring Security Through Blockchain Technique
[NO] 784/1000 | Applicability of Low-Rank Adaptation in Vision Transformer at Fine-Grained Image Classification Tasks
[NO] 785/1000 | Contour Analysis System of Thick Plates in Hot Rolling via Machine Vision
[NO] 786/1000 | DIGMAPPER: A Modular System for Automated Geologic Map Digitization
[NO] 787/1000 | A topology-based approach to extract pressure ridges from sea ice surfaces
[NO] 788/1000 | Into the Unknown: Applying Inductive Spatial-Semantic Location Embeddings for Predicting Individuals' Mobility Beyond Visited Places
[NO] 789/1000 | Geo-lucid Conditional Diffusion Models for High Physical Fidelity Trajectory Generation
[NO] 790/1000 | Reflection on HCI Summer School 2025 in Bangkok: Asia SIGCHI Committee's Initiative
[NO] 791/1000 | Spatial Regionalization: A Hybrid Quantum Computing Approach
[NO] 792/1000 | A Graph-Based Spatio-Temporal POI Ranking Measure for Pickup and Delivery Platforms
[NO] 793/1000 | Self-Supervised Topology-aware Skeleton Masking for Robust Human Action Recognition
[NO] 794/1000 | SNS-Based Support System for Evacuation Behavior and Awareness in Distributed Evacuations
[NO] 795/1000 | Design of a Boost DC-DC Converter with a Low-Startup Voltage for Harvesting Green Energies
[NO] 796/1000 | Efficient Detection in the Spectrum Sharing NOMA System Based on Improved Gradient Search
[NO] 797/1000 | Multi-Stream Allocation in Semi-Coherent Cell-Free MU-MIMO Systems
[NO] 798/1000 | Bidirectional Attention-Gated Motion Injection for Frame Interpolation
[NO] 799/1000 | A 10-Bit 10MS/s Subranging Successive Approximation Register Analog to Digital Converter With VCO-Based Comparator
[NO] 800/1000 | Short-Term Glucose Prediction in Diabetes: Comparing Deep Learning Training Paradigms
[NO] 801/1000 | Impact of Reactive Jamming Attacks on LoRaWAN: a Theoretical and Experimental Study
[NO] 802/1000 | Adaptive Resource Allocation for Joint Spectral and Secrecy Efficiency in RS Networks
[NO] 803/1000 | Intelligent UAV Deployment and Resource Allocation for UAV-NOMA-Based IoT Networks
[NO] 804/1000 | Emotional and Cognitive Responses of Professional Musicians in Challenging Performance Conditions Using Two-Electrode EEG
[NO] 805/1000 | A New OTFS-Based Index Modulation System for 6G and Beyond: OTFS-Based Code Index Modulation
[NO] 806/1000 | AI-Powered Multi-Modal Beam Prediction: A Combined Approach by Transfer Learning and Feature Selection
