[2025-12-03 09:14:25] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-02
正在获取论文...
[arXiv] 2025-12-02 | On the ellipticity of the higher rank numerical range
[NO] 944/1756 | Research on photovoltaic abnormal data correction based on K-means and CNN-LSSVM
[NO] 945/1756 | Integrating Ground Communication for Extended Drone Visual Line of Sight
[NO] 946/1756 | 12V-5V/3.3V SIMO DC-DC Buck Converter
[NO] 947/1756 | Stability-Preserving Model Order Reduction using Eigen Permutation and Dandelion Optimization
[NO] 948/1756 | Reasoned Rule Mining: Precision-Optimised Weighted LogProb Classification
[NO] 949/1756 | Cricinator: An AI-Driven Cricketer Guessing Game Leveraging Reinforcement Learning
[NO] 950/1756 | Sensor-Driven Soil Nutrient Prediction via Machine Learning
[NO] 951/1756 | Research on the Application of Random Forest Algorithm in Students Comprehensive Evaluation
[NO] 952/1756 | Performance Analysis of Proportional Integral,Sliding Mode and Super Twisting Sliding Mode Controller for Photovoltaic Applications
[NO] 953/1756 | Digital Implementation of Grid-Forming Control for Power Converters Using Artificial Delays
[NO] 954/1756 | A Bidirectional LSTM-Based Approach for Multi-Label Toxic Comment Classification
[NO] 955/1756 | Energy-Efficient Depthwise Separable CNNs for Classification and Segmentation of Lung Cancer Nodules
[NO] 956/1756 | Smart Segway: An IoT-Driven towards Autonomous vehicle with Optimized Design for Urban Navigation
[NO] 957/1756 | Optimal Allocation of Distributed Generation, Capacitor Banks and Electric Vehicle Charging Stations in Hybrid Distribution Networks
[NO] 958/1756 | Low-Power Smart Sensor Module for Real-Time Threat Monitoring and Warning in Unattended Vehicles for Vandalism
[NO] 959/1756 | Design of a Coordinated Control System for Flying Bars Based on Digital Twin Technology
[NO] 960/1756 | Gleaning Wisdom from the Past: Towards Label Incremental Learning for Online Hashing with a Plug-and-Play Framework
[NO] 961/1756 | AROM: Control-Theoretic Learning for Resilient and Decentralized Edge Intelligence
[NO] 962/1756 | Spatiotemporal Topology-Informed Multiagent Reinforcement Learning Framework for Structured Multiprocess Collaborative Optimization
[NO] 963/1756 | Coarse alignment method using manifold optimization for SINS on a rocking base
[NO] 964/1756 | Model-Based Offline Reinforcement Learning With Adversarial Data Augmentation
[NO] 965/1756 | Low Complexity Waveform PAPR Reduction in Uplink ISAC System
[NO] 966/1756 | On the Reversibility of Locality-Sensitive Hashing-based Biometric Template Protections_supp1-3637307.pdf
[NO] 967/1756 | POMACS V9, N3, December 2025 Editorial
[NO] 968/1756 | Proceedings of the 3rd ACM Workshop on Smart Wearable Systems and Applications
[NO] 969/1756 | A Broadband Low Sidelobe High-Efficiency Linear-to-Circular Polarization Conversion Metasurface With Independent Amplitude/Phase Control
[NO] 970/1756 | IEEE Transactions on Computational Social Systems Publication Information
[NO] 971/1756 | Incremental Data-Driven Fault Diagnosis for Conveyor Rollers With Prior Drift Adaptation: An Online Active Kernel Learning Approach
[NO] 972/1756 | DM-VSR: Depth-Aware Diffusion Models With Adaptive Modulation for Video Super-Resolution
[NO] 973/1756 | Order-Preserving Kernel Contrastive Learning With Applications to Cross-Domain RUL Prediction
[NO] 974/1756 | Thermal Stability Optimization for Full-Color Micro-LEDs With QDs and SU-8 Patterns
[NO] 975/1756 | Unified Accelerated Life Testing for One-Shot Devices With Weibull Lifetime Distributions
[NO] 976/1756 | 2025 International Conference on Electrical, Communication and Computer Engineering (ICECCE)
[NO] 977/1756 | A Compact Ku-Band Multibeam Relativistic Klystron Amplifier Packaged With Permanent Magnets
[NO] 978/1756 | Program
[NO] 979/1756 | STV2YOLO: An improved method for Unmanned Aerial Vehicle time sensitive target detection in YOLOv5 based on SwinTransforerV2
[NO] 980/1756 | SEFET 2025 Content Announcement Page
[NO] 981/1756 | ArtEARial: Arterial Pressure Waveform Reconstruction Using Earbud Audio
[NO] 982/1756 | CHEF-VL: Detecting Cognitive Sequencing Errors in Cooking with Vision-language Models
[NO] 983/1756 | Acoustoscillogram: Unlocking Arterial Health Insights via Acoustic Sensing with Low-cost Wired Earphones
[YES] 984/1756 | ASIC Flow of AXI Interface for ADPLL Module using SCL180nm
[NO] 985/1756 | LSTM-Based Modeling of Temperature Drift and Repeatability in TMR Sensors
[NO] 986/1756 | Influence of the Mover Mass on Stepping Characteristics of Stick-Slip Piezoelectric Actuators
[NO] 987/1756 | Driving Behaviour based Energy Consumption Estimation for Electric Vehicles using Convolutional Neural Network
[NO] 988/1756 | Sum-Rate Optimization in IRS-Assisted Multi-User OFDMA with PS-scheme enabled SWIPT
[NO] 989/1756 | A Planar Magnetics based V2V Connector
[NO] 990/1756 | Integrating Natural Language Processing and Machine Learning for Enhanced Market Forecasting Using Social Media Insights
[NO] 991/1756 | Cyber-Physical-Digital Twin Application for Bus Fault Protection
[NO] 992/1756 | Increasing CZTS Solar Cell Efficiency By Including BaSi
                    <sub>2</sub>
                    HTL
[NO] 993/1756 | Audio-Video Dual-Modality Robust Watermarking
[NO] 994/1756 | An Aviation Manned-Unmanned Teaming Simulation in Urban Environments to Compare Autonomous Flight Formations
[NO] 995/1756 | DO-377B and its Application in Automated Air Taxi Scenario
[NO] 996/1756 | A Landscape of Commercial On-Board Computers and Payload Processing Computers for CubeSats: Fault Tolerance and Implementation Challenges
[NO] 997/1756 | Optimal Energy Management for Renewable Energy-based EVCS using Fuzzy Inference System
[NO] 998/1756 | Enhancement of X-Rays via Hybrid Denoising and Adaptive Contrast
[NO] 999/1756 | Integrated UWB and LIDAR Assisted Localization and Navigation System for Automated Platooning
[NO] 1000/1756 | Analysis of Health Indicators for Lithium-Ion Battery
[NO] 1001/1756 | Symmetry Detection in Thermal Eye Images: A Study Using Instant Segmentation for Eye Health Insights
[NO] 1002/1756 | Machine Learning-Based Classification of Oils Using Dielectric Properties and Microwave Resonant Sensing
[NO] 1003/1756 | Efficient Classification of Fruits and Vegetables in Extensive Agricultural Fields Using Transform Techniques and KNN
[NO] 1004/1756 | Trends and Techniques in Mental Fatigue Detection Using Keystroke and Mouse Dynamics in Human-Computer Interaction
[NO] 1005/1756 | Solar Power Prediction using LSTM and XGBoost
[NO] 1006/1756 | Design and Performance Analysis of Single Material and Triple Material Cylindrical Gate All Around Gate Stack Silicon Nanowire FET at 7 nm Technology node
[NO] 1007/1756 | Comparative Analysis of Control Strategies for Enhancing the Performance of DC-DC Luo Converters
[NO] 1008/1756 | An Optimized Method for Route Scheduling of Small Commercial Electric Vehicles
[NO] 1009/1756 | Speed and Current Sensor Fault-Tolerant Control of DTC-SVM Based Induction Motor Drive
[NO] 1010/1756 | Damping Sinusoidal Reaching Law based Integral Terminal Sliding Mode Control for A Small Wind Turbine with Blade Geometry Effect
[NO] 1011/1756 | Research on Contact AFM Surface Topography Measurement Based on Molecular Dynamics Simulation
[NO] 1012/1756 | Effect of surface texture of solar cells on their radiative cooling performance
[NO] 1013/1756 | Integration of Electric Vehicle Charging Stations and Renewable Energy Sources in Distribution Systems Using COA Approach
[NO] 1014/1756 | A Novel Eleven-Level Quintuple Boost Switched-Capacitor Inverter with Self-Balancing Capability
[NO] 1015/1756 | Pilot Vector Perturbation Precoding for Scalable and Efficient Transmission in Ultra-Dense Massive MIMO 6G Networks
[NO] 1016/1756 | Novel Technique for Detecting Localization of Acid and Base Lewis and Bronsted Surface Sites Based on Atomic Force Microscopy
[NO] 1017/1756 | Multi-regional collaborative fault diagnosis model for power equipment based on federated learning
[NO] 1018/1756 | Implementation of Q-Learning Algorithm For HVAC Control
[NO] 1019/1756 | Track-Before-Detect with Stereo Microphone Arrays
[NO] 1020/1756 | Predefined Time Consensus Control for Multi-Agent Systems
[NO] 1021/1756 | Artificial Neural Network-Assisted Simulation Framework for Process Optimization in L-PBF Manufacturing of Inconel 718 Spur Gears
[NO] 1022/1756 | Gesture and Voice-Enabled Game Interface for Accessible Human-Computer Interaction
[NO] 1023/1756 | A Communication-Efficient Federated Learning Approach for Intrusion Detection in IoT
[NO] 1024/1756 | Uncovering Resilient Behavior in the Aviation Safety Reporting System Using Large Language Models
[NO] 1025/1756 | Adaptive Scheduling of Computing Resources for Big Data in Arithmetic Networks
[NO] 1026/1756 | Design of an RLC dv/dt Filter for WBG devices enabled Integrated Motor Drives
[NO] 1027/1756 | Dynamic Feature Clustering for Anomaly Detection in Streaming Cybersecurity Data
[NO] 1028/1756 | TABNET_STACKING: Hybrid ML and DL Model for Robust Phishing Detection
[NO] 1029/1756 | Touching Voices: Enhancing Accessibility Through Hand Gestures Recognition
[NO] 1030/1756 | Green Diagnosis: Deep Learning-Based Guava Leaf Disease Classification
[NO] 1031/1756 | AI-Enhanced DevOps Integration in Quantum Computing Environments: Optimizing Serverless Application Performance for Retail Systems
[NO] 1032/1756 | Towards Secure and Transparent Cloud Auditing: A Blockchain and IPFS-Driven Framework with Batch Verification
[NO] 1033/1756 | A Low-Power 10-bit SAR ADC with Splitting Decoder for Implantable Pacemakers
[NO] 1034/1756 | Hospital Management System Using Django Frameworks
[NO] 1035/1756 | Advanced Air Mobility Simulation Tool for Airspace Capacity Estimation
[NO] 1036/1756 | Vibration Based Condition Monitoring of Stator Interturn Faults in Permanent Magnet Synchronous Motors Using a Machine Learning Approach
[NO] 1037/1756 | Smart IoT-Based Healthcare Systems for Continuous Health Monitoring and Predictive Analytics
[NO] 1038/1756 | A Scalable and Efficient Intrusion Detection System Based on a Shapley Value Driven Feature Selection
[NO] 1039/1756 | Advancing Fake News Detection: A Comparative Study of Traditional and BERT-Random Forest Hybrid Model
[NO] 1040/1756 | Redundant Echo Path Estimation for an Adaptive Kernel-Linear Cascaded Structure
[NO] 1041/1756 | Fake News Detection Using AI: A Hybrid Approach with ML, Deep Learning, and LLaMA Models
[NO] 1042/1756 | Model Order Reduction of Air Core Transformer Using Direct Truncation and Routh Array Method
[NO] 1043/1756 | Grid Integration of Parallel-Connected Self-Excited Induction Generators Using Adaptive Predictive Virtual Synchronous Generator Control
[NO] 1044/1756 | PH Sensing With a Balloon-Type Fiber Structure Integrated in a Fiber Ring Laser
[NO] 1045/1756 | Research on Multi-dimensional Security Event Association Model for Network Security of Substation in Power Dispatching System
[NO] 1046/1756 | BirdSonic: An AI-Powered System for Real-Time Bird Species Detection Using Audio Classification
[NO] 1047/1756 | Smart Meter Data Attacks Assessment: Evaluating Across Diverse Scenarios
[NO] 1048/1756 | DeFi Liquidity Provisioning with Reinforcement Learning and Dynamic Feature Selection
[NO] 1049/1756 | Diabetes Prediction Using Optimized Ensemble Techniques
[NO] 1050/1756 | Analysis of Hardware Trojan for Multilevel Cascaded Converters
[NO] 1051/1756 | Adaptive Periodic Disturbance Compensation for Continuous-Time Linear Systems with Input Delays
[NO] 1052/1756 | An Optimized Swarm Intelligence Approach for Fuzzy Clustering-Based Intrusive Behavior Detection in IoT and Network System
[NO] 1053/1756 | Advanced Cybersecurity Frameworks Leveraging AI for Threat Detection and Intrusion Prevention
[NO] 1054/1756 | Investigation of a Novel Dual-Flux-Modulated Magnetically Geared Machine
[NO] 1055/1756 | Cycle-GAN Based Fish Disease Image Generation for Dataset Expansion and Blending
[NO] 1056/1756 | An Approach to Integrated Charging, Scheduling and Resource Allocation for UAM Fleet Operations
[NO] 1057/1756 | IK-PBFT: Dynamic Credit and Multi-Anomaly Detection Enhanced PBFT for Large-Scale Consortium Blockchain
[NO] 1058/1756 | Research on the Construction of Thinking Chain Reasoning Model for Knowledge Question Answering System Based on Deep Learning
[NO] 1059/1756 | Ge
                    <sub>2</sub>
                    Sb
                    <sub>2</sub>
                    Te
                    <sub>5</sub>
                    -Integrated Metasurfaces for Tunable Reconfigurable Terahertz Holography and Orbital Angular Momentum Multiplexing
[NO] 1060/1756 | Sharing of Energy Storage Through Storage Rights Considering Network Losses
[NO] 1061/1756 | Modular Reference Software Architecture (RECMMan) for RADAR ECM Effector Systems
[NO] 1062/1756 | Adaptive and Intelligent Control Strategies for EV Induction motor: A Comparative Study of PID, FLC and ANN
[NO] 1063/1756 | CyberVigilance: A Deep Learning Framework for Cyber Attack Forecasting
[NO] 1064/1756 | High Precision Signal Simulator for Aircraft Engine Oil Debris Sensors
[NO] 1065/1756 | Multilevel Feature Fusion and Attention Enhancement for Multimodal Sentiment Analysis
[NO] 1066/1756 | Implementation of Power-Optimized Transition Reduction Encoding Schemes for VLSI Interconnects
[NO] 1067/1756 | PowerGlide: An Open-Source Wheelchair Conversion System with Multi-Modal Control
[NO] 1068/1756 | A Machine Learning Approach for Skin Cancer Type Detection via CNN and SVM
[NO] 1069/1756 | Machine Learning Optimization for Reducing Financial Bottlenecks in Global Logistics Networks
[NO] 1070/1756 | Integration of Zinc-Air Batteries with PEM Fuel Cell-Lithium-Ion Battery Based Hybrid Energy System for Sustainable Rail Transport in Himachal Pradesh, India
[NO] 1071/1756 | Linear Prediction Networks for Residual based Replay Speech Detection
[NO] 1072/1756 | Proceedings of the 1st ACM SIGSPATIAL International Workshop on Urban Mobility Foundation Models
[NO] 1073/1756 | GeoTexBuild: 3D Building Model Generation from Map Footprints
[NO] 1074/1756 | GeoSearchPredict: Predicting Search Term Popularity
[NO] 1075/1756 | Table of Contents
[NO] 1076/1756 | A Self-improving Ensemble Learning Framework for Human Non-Speech Vocalization Classification
[NO] 1077/1756 | A Compact Electronically Reconfigurable Antenna with Polarization Agility and Beam-switching
[NO] 1078/1756 | GP-BO-Driven Ensemble Learning for High-Resolution Surface Soil Moisture Retrieval
[NO] 1079/1756 | Siamese Feature Decoupling and Adaptive Prototype Alignment for Clothes Changed Person Re-identification_supp1-3638256.pdf
[NO] 1080/1756 | Real-time Image-based High Accuracy Tooth Measurement for Precision Orthodontics_supp1-3638645.mp4
[NO] 1081/1756 | A Robust Odor Mixture Quantification Method Based on Active Sensing Using Both QCM Frequency Shifts and Resistance Changes of Multiple Harmonics_supp1-3622147.pdf
[NO] 1082/1756 | Conference Information
[NO] 1083/1756 | Table of Contents
[NO] 1084/1756 | Message from the Program Chairs CoST 2025
[NO] 1085/1756 | 2025 14th International Conference on Control, Automation and Information Sciences (ICCAIS)
[NO] 1086/1756 | Attention-Driven Interference Alignment for Multi-User Semantic Communications
[NO] 1087/1756 | Adaptive Neural Network Iterative Learning PI Control of Fractional-Order Nonlinear Systems Using Generalized Barrier Lyapunov Function
[NO] 1088/1756 | Artificially Accelerated Atmospheric Neutron-Induced Single-Event Burnout in Thyristors and Failure Rate Prediction Model
[NO] 1089/1756 | Development of an Ultra-Fast Hybrid Circuit Breaker with a Novel Arc-Enhanced Lightweight Mechanical Switch for Low-Voltage DC Applications
[NO] 1090/1756 | AMuSeD: An Attentive Deep Neural Network for Multimodal Sarcasm Detection Incorporating Bi-modal Data Augmentation
[NO] 1091/1756 | 2025 AIAA DATC/IEEE 44th Digital Avionics Systems Conference (DASC)
[NO] 1092/1756 | Copyright Page
[NO] 1093/1756 | Publication Committee
[NO] 1094/1756 | Copyright Page
[NO] 1095/1756 | Technical Program Committee
[NO] 1096/1756 | VibeAlign: Maximizing
                    <u>V</u>
                    ar
                    <u>i</u>
                    ation of Heart
                    <u>Be</u>
                    at in CSI of COTS Wi-Fi Devices via Signal
                    <u>Align</u>
                    ment
[NO] 1097/1756 | Multiple Sides of 36 Coins: Measuring Peer-to-Peer Infrastructure Across Cryptocurrencies
[NO] 1098/1756 | SAGESERVE: Optimizing LLM Serving on Cloud Data Centers with Forecast Aware Auto-Scaling
[NO] 1099/1756 | An Improved Multi-output Nine-Level Buck PFC Rectifier
[NO] 1100/1756 | Design of a Flyback Converter for Biomedical Application with USB Type-C PD Interface
[NO] 1101/1756 | Research on Financial Risk Prediction Algorithm Based on Reinforcement Learning
[NO] 1102/1756 | Impact Analysis of Network Reconfiguration on Aggregated Flexibility at the TSO-DSO Interface
[NO] 1103/1756 | The performance and improvement of one-stage networks in intelligent driving environment
[NO] 1104/1756 | IoT-Based Smart Irrigation System for Optimized Water Usage in Agriculture
[NO] 1105/1756 | Comparison of Machine Learning and Deep Learning Techniques for Identifying Signals of Interest for Electronic Warfare
[NO] 1106/1756 | Research on application of reinforcement learning in load dispatch optimization for smart grid
[NO] 1107/1756 | Gate Oxide Reliability Enhancement of 4H-SiC Trench MOSFETs Using Charge Sheet Super Junction
[NO] 1108/1756 | Optimizing Cell Insert Structure for Enhanced Thermal Management in Air-Cooled Battery Packs
[NO] 1109/1756 | Air Quality Index Forecasting Using Variable Weighted Ensembled Model with Gradient COA
[NO] 1110/1756 | Implementation of PV Based Z Source Inverter for Residential Applications
[NO] 1111/1756 | Vehicle Behavior Recognition and Trajectory Prediction Based on Spatiotemporal Feature Fusion
[NO] 1112/1756 | A Hybrid Classical-Quantum Deep Learning Framework for MRI-Guided Alzheimer’s Disease Classification, Comparative Analysis &amp; Explainable AI for Medical Interpretation
[NO] 1113/1756 | Visual inertial trajectory alignment method based on ICP
[NO] 1114/1756 | Smith Predictor-Driven PID Controller Optimization for Liquid Level Control
[NO] 1115/1756 | Towards Reliable Real-Time Modelling of PV Cells: A Computational Perspective for Safe Inverter Control
[NO] 1116/1756 | Systematic Analysis of ML Techniques for Identifying DDoS Attacks in SDN Environments
[NO] 1117/1756 | Hybrid Global Peak Power Tracking (HGPPT) for PV Systems based on Particle Swarm Optimization &amp; Support Vector Machines (PSOSVM)
[NO] 1118/1756 | Revolutionizing Distributed Generation Allocation in Radial Networks via Pioneering PSO Strategies
[NO] 1119/1756 | A Method for Urban 3D Reconstruction and Dynamic Target Localization via Multi-UAV Collaboration
[NO] 1120/1756 | Toward Fault-Tolerant Decoder Circuit in Quantum-Dot Cellular Automata (QCA) Technology
[NO] 1121/1756 | Power user behavior analysis method based on multi-source heterogeneous data fusion
[NO] 1122/1756 | End-to-End 2D Floor Plan to 3D Conversion Framework
[NO] 1123/1756 | Assessing the influence of busbar and contact resistance on lithium-ion battery pack
[NO] 1124/1756 | Cost Optimization of Renewable Energy Installation in a Four-Microgrid System Using GBOML
[NO] 1125/1756 | Mobility-Aware Adaptive Authentication for Enhanced Security in Medical IoT Systems
[NO] 1126/1756 | SmartSafetyNet: A Hybrid Deep Learning Model for Predicting Traffic Accident Severity and Enhancing Road Safety Measures
[NO] 1127/1756 | Improving Skin Lesion Classification with Attention Based Deep Learning Approach
[NO] 1128/1756 | KVVP2 Control Cable Positioning Device Based on Intelligent Sensing Feedback System
[NO] 1129/1756 | Power Quality Improvement of Permanent Magnet BLDC Motor Driven Air-conditioner using a Bridgeless SEPIC Converter
[NO] 1130/1756 | Digital Twin-Enhanced Adaptive Control for Robust Power System Stability and Security
[NO] 1131/1756 | Assessing the Effects of Donor Red Blood Cell Processing Methods Using AFM
[NO] 1132/1756 | Network Performance Optimization Using Huffman Compression
[NO] 1133/1756 | Challenges and Opportunities in Communication Systems for Multi-Domain Air Traffic Management
[NO] 1134/1756 | A Deep Learning Approach Enhanced by Discrete Wavelet Transform for Precise Fault Classification in Rotating Machinery Systems
[NO] 1135/1756 | Multi-Band GAN-Augmented Deep Learning for Enhanced P300 Detection in RSVP EEG Signals for Assistive-Tech
[NO] 1136/1756 | Designing of Intelligent Hardware System for Brain Tumor Detection
[NO] 1137/1756 | An Edge-Aware Retinexformer for Robust Low-Light Image Enhancement
[NO] 1138/1756 | Dynamic safety fuse mechanism for intelligent agent API based on behavioral baseline modeling
[NO] 1139/1756 | Local Enhancement and Semantic Alignment for Zero-Shot Anomaly Detection
[NO] 1140/1756 | Telemedicine for the Management of Nasal Obstruction: An Innovative Approach to Remote Monitoring
[NO] 1141/1756 | BiFNCA-YOLOv8: Enhanced Construction Fence Detection
[NO] 1142/1756 | Potential of Hydrogen Propulsion in Indian Railways: A Pilot Study
[NO] 1143/1756 | Isolation Improvement of Microstrip Patch Antenna Array for Fixed Head Doppler Radar Applications
[NO] 1144/1756 | Reduced Switch Count-Based Multioutput Multilevel Buck PFC Rectifier
[NO] 1145/1756 | An LSTM Based Data Driven Approach to Estimate EV Charging Demand Considering Uncertain Parameters
[NO] 1146/1756 | Fast Detection Algorithm for Coal Ash Content Based on Convolutional Neural Network
[NO] 1147/1756 | Infrared Thermal Image Aided Deep Transfer Learning Approach to Sense Contamination Grade for Non-contact monitoring of Overhead Line Insulator
[NO] 1148/1756 | A Shared Neural Network-Based Method for Inverting Electromagnetic Resistivity Logging Data During Drilling
[NO] 1149/1756 | Feature - Enriched Brain Tumor Classification Using ViT in GCN
[NO] 1150/1756 | Multi-objective Optimization of Path Planning Based on Width Neural Network and Nash Equilibrium Strategy
[NO] 1151/1756 | A Rendez-Vous in Time: Frequency-Domain Precoding for LoS Alignment in Distributed MISO
[NO] 1152/1756 | Reduced Component Nine-Level Inverter (RCNLI) with Adaptive Nearest Level Control (ANLC)
[NO] 1153/1756 | Machine Learning Driven Cost and PHEV User Convenience Optimization in Smart City
[NO] 1154/1756 | Scheduling and Navigation Strategies in Coupled Power Traffic Networks: A Comprehensive Review
[NO] 1155/1756 | A Novel Approach for Crowd Analysis and Density Estimation by using Machine Learning Techniques
[NO] 1156/1756 | Optimal Placement of PMUs and PDCs using Parrot Optimization Algorithm
[NO] 1157/1756 | Design and Performance Analysis of a BWO-Based MPPT Controller for Grid-Connected PMSG Wind Turbines
[NO] 1158/1756 | Achieve a Dynamic and Reliable Web Service using Network Load Balancer on Cloud Platforms
[NO] 1159/1756 | ST-GateNet: Gated Dual-Stream Transformer-CNN for Spatiotemporal Action Recognition
[NO] 1160/1756 | Prognostics of Li-ion Batteries Using a Novel C-rate Dependent Aging Model
[NO] 1161/1756 | Intelligent Fault Detection in Hybrid Microgrids: A Fuzzy Logic and Discrete Wavelet Transform Approach
[NO] 1162/1756 | 3+1 Beam Laser Interference Lithography for Preparing 3D Nanostructures
[NO] 1163/1756 | Wireless Sensing Platform Using Flexible Loop Antennas and LC Sensors for Dielectric Characterization of Oral Care Media
[NO] 1164/1756 | Scalable Anomaly Detection in Big Data Logs Using Deep Autoencoders
[NO] 1165/1756 | Voltage Stability Margin Enhancement using the Progressive L-Index Method with Impact of Solar PV and Electric Vehicle load on Mesh Distribution System
[NO] 1166/1756 | Force Self-Sensing in a Four-DOF Microgripper
[NO] 1167/1756 | Performance and Power Analysis of feed-forward Artificial Neural Network In Xilinx’s 7 Series Field Programmable Gate Array
[NO] 1168/1756 | An Interference-Aware Radar Network Optimization Framework for AAM Surveillance
[NO] 1169/1756 | A Fault Tolerant Modular Multilevel Converter Topology for Electric Aircraft
[NO] 1170/1756 | Understanding what Federated Learning Models Learn: a Comparative Study with Traditional Models
[NO] 1171/1756 | A High-Precision Electrochemical Analysis System Based on Vertical Graphene
[NO] 1172/1756 | AOD-Assisted Maskless Laser-Induced Micro-Components Transfer
[NO] 1173/1756 | Optimal Planning of Renewable-Based Microgrids Considering Loading and Generation Uncertainties
[NO] 1174/1756 | Towards Better APE: Improving Neural Machine Translation for Under-Resourced Languages via Hybrid-Attention Dual-Encoder Post Editing
[NO] 1175/1756 | A Comprehensive Spectral Investigation of Flux Density of Mixed-Grade Permanent Magnet Configurations for Surface Mounted Brushless PM Motors
[NO] 1176/1756 | A Generalized Feature-Based Approach to Dynamic Planning for Airborne Reconnaissance Missions
[NO] 1177/1756 | Satellite Pose Estimation Using Attention Learning Without GPU Acceleration
[NO] 1178/1756 | Pneumothorax Detection via Chest Radiographs
[NO] 1179/1756 | Laser-Structured Zinc Anode with Silica-Based Interfaces for Robust Zinc-Ion Batteries
[NO] 1180/1756 | Composition Analysis and Antibacterial/Antioxidant Activity Evaluation of Rendered Meles Meles Oil in Changbai Mountain Area
[YES] 1181/1756 | Leveraging LLMs for Detecting Security Threats in Virtual Network Functions
[NO] 1182/1756 | Tomato Classification Using EfficientNet-B7
[NO] 1183/1756 | Cost-Centric Optimal Framework for PHEV Integrated Microgrid System Considering Shiftable Loads
[NO] 1184/1756 | Detection and Recognition of Daylily Maturity Based on Deep Learning
[NO] 1185/1756 | Development of Automatic Testing System for Electric Power Special Switches
[NO] 1186/1756 | Reverse Throttle Regeneration for Seamless Single- Control Driving in Electric Three-Wheelers
[NO] 1187/1756 | Scalable Cloud Architecture for Computational Microscopy: A Microservices Approach with Dynamic Resource Management
[NO] 1188/1756 | Exploring Spatial Design Preferences for Learning Spaces in Primary Schools: A Child-Centered Approach Using Generative AI
[NO] 1189/1756 | CareWELL: Multimodal Region Representation Learning with Spatial Contexts for Urban Health
[NO] 1190/1756 | Comparative Analysis of Plasma-Based Nitrogen Fixation With ICP/RF Systems
[NO] 1191/1756 | Table of Contents
[NO] 1192/1756 | Experimental Demonstration of Integrated VLC-RF System for Secure Industrial IoT Applications
[NO] 1193/1756 | Scheduling Jobs Under a Variable Number of Processors_supp1-3638703.pdf
[NO] 1194/1756 | AutoAI-IDS: A Meta-Learning-Based Approach for Automating Model Selection Process for Network Intrusion Detection Tasks
[NO] 1195/1756 | Low Altitude UAV Detection in Complex Contexts
[NO] 1196/1756 | Journal of Microelectromechanical Systems Publication Information
[NO] 1197/1756 | ISCIPT 2025 Cover Page
[NO] 1198/1756 | Stacked Intelligent Metasurface-Enabled Satellite Integrated Sensing and Communications Systems
[NO] 1199/1756 | IEEE Transactions on Human-Machine Systems Information for Authors
[NO] 1200/1756 | Optimal Scheduling Algorithms for LLM Inference: Theory and Practice
[NO] 1201/1756 | List of Reviewers
[NO] 1202/1756 | Cover Page
[NO] 1203/1756 | The Trumpet of the Swan: Decoding Lip Language for Speech-impaired Users through COTS Earbuds
[NO] 1204/1756 | KneeSense: A Smart-Textile Knee Brace for In Situ Form Assessment in Remote Training and Rehabilitation
[NO] 1205/1756 | Poster: Agentic AI meets Neural Architecture Search: Proactive Traffic Prediction for AI-RAN
[NO] 1206/1756 | Adaptive Nonlinear Digital Self-Interference Cancellation for Full-Duplex Wireless Systems Using Hypernetwork based Incremental Learning
[NO] 1207/1756 | SoundOff: Low-cost Passive Ultrasound Tags for Non-invasive and Non-Intrusive Smart Home Sensing
[NO] 1208/1756 | Model Predictive Control-Based Active Cell Balancing for Battery Energy Equalization Using Converter Topologies
[YES] 1209/1756 | Code Search with RAG: A Systematic Comparison of Retrieval Performance
[NO] 1210/1756 | AI-Enhanced Identity-Based Authentication for Secure Node Communication in Wireless Sensor Networks
[NO] 1211/1756 | FinAI-Trader: Sentiment-Enhanced Reinforcement Learning for Bitcoin Trading in the FinAI Contest 2025 Task 1
[NO] 1212/1756 | Zero-Day Gps Attack Detection and Classification in Uav Networks
[NO] 1213/1756 | Comparative Analysis of NCF, SVD-MF, Graph and Hypergraph Neural Network for Rating Prediction
[NO] 1214/1756 | Cross-Cultural Sarcasm Detection Using Transformer Models: A Study on Linguistic and Cultural Adaptation
[NO] 1215/1756 | A Comprehensive Review on District Cooling Systems for Demand Response Applications
[NO] 1216/1756 | Research on intelligent geology based on BP neural network technology
[NO] 1217/1756 | Evaluating AI-Assisted Motion Tracking for Knee Rehabilitation: A Comparative Analysis of You Only Look Once Version 8 (YOLOv8) and MediaPipe
[NO] 1218/1756 | Intelligent Video Surveillance Systems With Violence Detection
[NO] 1219/1756 | Behavior Recognition Based on Multimodal Information of Unmanned Aerial Vehicle Swarm of DeepSeek V3
[NO] 1220/1756 | Note-Bert: Medical report classification method based on feature fusion and memory enhancement
[NO] 1221/1756 | A Study of IGC Creation Based on Algorithmic Imaginary on Rednote
[NO] 1222/1756 | III-Nitride Optical Devices with Epoxy Lenses for Braille Character Recognition
[NO] 1223/1756 | Preparation of Mg Salt-Modified Fly Ash and its Adsorption Performance on Congo Red Dye
[NO] 1224/1756 | Microfluidic Biosensor Response Model Considering Two-Layer Adsorption
[NO] 1225/1756 | Multi-Stage Intelligent Control Scheme for Frequency Regulation of Time Delayed Multi-Area Power System
[NO] 1226/1756 | Impact of Preamble Sequence Design on Device Activity Detection in mMTC: A Comparison of Zadoff-Chu, Gold, and PN Sequences
